Sample_ID,Device,Concentration_mM,Scan_Rate_mVs,PC1_Score,PC2_Score,Device_Prediction_Score,Actual_Device_Code,OX_Voltage_V,OX_Current_A,RED_Voltage_V,RED_Current_A,Peak_Separation_V
51,STM32,0.5,100,-2.47742607994701,0.9579332907120843,0.6100974701586743,1,0.0786,-1.509,0.1682,1.5083,0.0895999999999999
52,STM32,0.5,100,-2.1056115042626837,0.6191861390960719,0.6101010066761574,1,0.0786,-1.5316,0.1682,1.4831,0.0895999999999999
53,STM32,0.5,100,-1.6558733638171454,0.7760171942712548,0.6101003670923258,1,0.0786,-1.5442,0.1682,1.4803,0.0895999999999999
54,STM32,0.5,100,-2.6351697962921317,0.737362324385753,0.6101009389509887,1,0.0786,-1.5402,0.1682,1.4796,0.0895999999999999
55,STM32,0.5,100,-2.2371531687340593,1.526476877993121,0.6100967745028658,1,0.0786,-1.5632,0.1682,1.4873999999999998,0.0895999999999999
56,STM32,0.5,100,-2.5489577896354,1.4068627489120265,0.6100941027872668,1,0.0786,-1.5698,0.1682,1.496,0.0895999999999999
57,STM32,0.5,100,-2.649202351302967,0.6574004828880923,0.6100945989982336,1,0.0786,-1.5679,0.1682,1.4947,0.0895999999999999
58,STM32,0.5,100,-2.3995442692974986,1.2437576662058536,0.6100923717979667,1,0.0786,-1.5756,0.1682,1.5009,0.0895999999999999
59,STM32,0.5,100,-3.004531840523107,1.211982225168787,0.6100899604719929,1,0.0786,-1.5758,0.1682,1.5112,0.0895999999999999
60,STM32,0.5,100,-2.1188490452090907,0.7364183610715578,0.6100937495488137,1,0.0786,-1.5762,0.1682,1.4947,0.0895999999999999
61,STM32,0.5,100,-2.4159821097168965,1.463526515266663,0.47168259366093684,1,0.0884,-18.666,0.1779,18.581,0.0895
62,STM32,0.5,100,-3.402445863154355,0.6509296275828264,0.4717439873380173,1,0.0884,-19.055,0.1779,18.145,0.0895
63,STM32,0.5,100,-2.8429713585280134,0.7228012849723613,0.4717025083919581,1,0.0884,-19.204,0.1779,18.258,0.0895
64,STM32,0.5,100,-2.2761680629136665,0.9574098468154131,0.4716380271654123,1,0.0884,-19.326,0.1779,18.482,0.0895
65,STM32,0.5,100,-3.224278498496085,0.6683560694398599,0.47160576651522185,1,0.0884,-19.394,0.1779,18.591,0.0895
66,STM32,0.5,100,-3.113266758697806,0.3335675607271649,0.47158132034035294,1,0.0884,-19.744,0.1779,18.542,0.0895
67,STM32,0.5,100,-2.842215346509546,0.7867802029901045,0.4715803822948157,1,0.0884,-19.701,0.1779,18.565,0.0895
68,STM32,0.5,100,-3.188243893763325,0.46648558489010017,0.4715580258270444,1,0.0884,-19.738,0.1779,18.645,0.0895
69,STM32,0.5,100,-3.3100099537052934,0.7834217082106366,0.47152749977318664,1,0.0884,-19.814,0.1779,18.743,0.0895
70,STM32,0.5,100,-2.8003622148538634,0.7929936417099814,0.47149986460857585,1,0.0884,-19.83,0.1779,18.855,0.0895
71,STM32,0.5,100,-2.043831803451479,0.7133085991979793,0.5596316749670047,1,0.0683,-23.673,0.1779,22.572,0.1096
72,STM32,0.5,100,-2.912765198348186,0.9484968946728876,0.5597101513409234,1,0.0683,-23.759,0.1779,22.196,0.1096
73,STM32,0.5,100,-3.276653046335398,1.1098054135046702,0.5596816798656042,1,0.0683,-24.044,0.1779,22.193,0.1096
74,STM32,0.5,100,-2.8025942310305907,0.49700413985806213,0.5596991639286376,1,0.0683,-24.041,0.1779,22.119,0.1096
75,STM32,0.5,100,-2.757828257703294,0.9322100630979215,0.5596545351442749,1,0.0683,-23.935,0.1779,22.358,0.1096
76,STM32,0.5,100,-3.3014841108378348,0.8325961045630337,0.5597011580825015,1,0.0683,-24.051,0.1779,22.106,0.1096
77,STM32,0.5,100,-2.7123536146323217,1.1758535990288899,0.5596797017451484,1,0.0683,-24.179,0.1779,22.142,0.1096
78,STM32,0.5,100,-2.5093920840056647,1.294135679784643,0.5596502311911425,1,0.0683,-24.535,0.1779,22.112,0.1096
79,STM32,0.5,100,-3.0344894231420954,0.546473579460061,0.5596275951289225,1,0.0683,-24.577,0.1779,22.191000000000003,0.1096
80,STM32,0.5,100,-2.5365698259987988,0.9067370032786863,0.5596070290508047,1,0.0683,-24.533,0.1779,22.299,0.1096
131,STM32,1.0,100,-3.8101097702886797,0.5879344128675784,0.5365191797288765,1,0.0786,-3.0547,0.1779,3.5435,0.0993
132,STM32,1.0,100,-2.4394948294861947,1.1293393080854242,0.6256801680926949,1,0.0786,-3.1199,0.1682,3.3117,0.0895999999999999
133,STM32,1.0,100,-3.2071376213521265,0.8763997056427411,0.6256883353689153,1,0.0786,-3.1628,0.1682,3.2576,0.0895999999999999
134,STM32,1.0,100,-3.082791353142601,0.7987226746260271,0.6256851105382785,1,0.0786,-3.2213,0.1682,3.2457000000000003,0.0895999999999999
135,STM32,1.0,100,-2.6971544569027537,1.0901720057769668,0.6256854952509692,1,0.0786,-3.2375,0.1682,3.2369,0.0895999999999999
136,STM32,1.0,100,-2.695681627189714,0.12748718090509847,0.6256828738749277,1,0.0786,-3.252,0.1682,3.2418,0.0895999999999999
137,STM32,1.0,100,-1.4669579615845798,0.4610245801356301,0.6256798383784339,1,0.0786,-3.271,0.1682,3.2465,0.0895999999999999
138,STM32,1.0,100,-2.5479727331314574,1.0378337538560596,0.6256792324570113,1,0.0786,-3.2869,0.1682,3.2421,0.0895999999999999
139,STM32,1.0,100,-2.589733866311258,0.3504257157905097,0.6256737209610325,1,0.0786,-3.309,0.1682,3.2561,0.0895999999999999
140,STM32,1.0,100,-2.159812923279866,0.9746540939745714,0.6256714091425766,1,0.0786,-3.3173,0.1682,3.2624,0.0895999999999999
141,STM32,1.0,200,-2.150524304911066,0.8684253427186797,0.8069594016852673,1,0.0683,-5.061400000000001,0.1779,5.6238,0.1096
142,STM32,1.0,200,-2.703059843512748,0.3255133905818518,0.807022754366346,1,0.0683,-5.154100000000001,0.1779,5.31,0.1096
143,STM32,1.0,200,-1.958827103870643,0.8557469019555675,0.807035230142561,1,0.0683,-5.1955,0.1779,5.238,0.1096
144,STM32,1.0,200,-2.094771623318476,0.7633479924426265,0.8070357629145071,1,0.0683,-5.2318,0.1779,5.2197000000000005,0.1096
145,STM32,1.0,200,-2.7291396537433794,0.7013053784895932,0.8070403490366509,1,0.0683,-5.248,0.1779,5.1928,0.1096
146,STM32,1.0,200,-1.8298139380972487,0.5246194161723737,0.8070404948763428,1,0.0683,-5.2654,0.1779,5.1845,0.1096
147,STM32,1.0,200,-1.8175509847917355,1.3668759537116655,0.8070391868857483,1,0.0683,-5.2775,0.1779,5.1848,0.1096
148,STM32,1.0,200,-2.025146438905794,0.9111297828065069,0.8070325910747342,1,0.0683,-5.3077,0.1779,5.1999,0.1096
149,STM32,1.0,200,-2.1603718128358684,1.1843291723488365,0.8070319149004683,1,0.0683,-5.3354,0.1779,5.1906,0.1096
150,STM32,1.0,200,-1.8062219973106117,0.6567194875253027,0.8070253472333784,1,0.0683,-5.346500000000001,0.1779,5.214,0.1096
151,STM32,1.0,20,-2.0139408960657854,0.6546108546495086,0.5820057843198652,1,0.0683,-1.1809,0.1584,0.95494,0.0901
152,STM32,1.0,20,-2.778155141701332,0.2753122763495949,0.5820020953824808,1,0.0683,-1.1878000000000002,0.1584,0.96779,0.0901
153,STM32,1.0,20,-2.6072157076606075,1.0175577414496257,0.582000877262461,1,0.0683,-1.1831,0.1584,0.97511,0.0901
154,STM32,1.0,20,-2.8194244255041045,0.6499095198578483,0.5820006087312976,1,0.0683,-1.1774,0.1584,0.97878,0.0901
155,STM32,1.0,20,-2.5914635690883263,0.48118789515534954,0.5819953807166584,1,0.0683,-1.1826,0.1584,0.99901,0.0901
156,STM32,1.0,20,-1.9163608832738797,0.4833928143802262,0.5819971778372041,1,0.0683,-1.1603,0.1584,1.0011,0.0901
157,STM32,1.0,20,-3.1117632349044233,1.1155624322427398,0.4919630021515698,1,0.0683,-1.199,0.1682,0.99102,0.0998999999999999
158,STM32,1.0,20,-2.9510533865104187,1.0355926648540654,0.4919613421612458,1,0.0683,-1.1983,0.1682,0.99848,0.0998999999999999
159,STM32,1.0,20,-3.333849062493576,0.2547832801351139,0.49195870452096346,1,0.0683,-1.2018,0.1682,1.0083,0.0998999999999999
