Device,N_Samples,PC1_Mean,PC1_Std,PC2_Mean,PC2_Std
Palmsens,220,1.3165972784392084,0.6049020023247725,-0.45731449846809163,0.6256958540183419
STM32,183,-2.496900406989187,0.7545548746039992,0.4255313433464311,0.5031733003160098
