device,concentration,scan_rate,electrode,scan_number,filename,ox_voltage,ox_current,ox_confidence,red_voltage,red_current,red_confidence,peak_separation_voltage,peak_separation_current,current_ratio,midpoint_potential
STM32,0.0,400.0,E1,5,Pipot_Ferro_1_0mM_400mVpS_E1_scan_05,0.1882,8.351,83.6463952808148,0.0585,-8.4329,100.0,0.1297,16.783900000000003,-0.9902880385158132,0.12335
STM32,0.0,50.0,E1,5,Pipot_Ferro_1_0mM_50mVpS_E1_scan_05,0.1682,1.8465,82.00546132772766,0.0786,-2.0086,100.0,0.08959999999999999,3.8551,-0.9192970228019517,0.1234
STM32,0.0,50.0,E2,2,Pipot_Ferro_1_0mM_50mVpS_E2_scan_02,0.1682,16.079,63.611943080805595,0.0683,-18.525,100.0,0.09989999999999999,34.604,-0.8679622132253713,0.11825
STM32,0.0,50.0,E2,3,Pipot_Ferro_1_0mM_50mVpS_E2_scan_03,0.1682,16.128,72.04365704164776,0.0683,-18.672,100.0,0.09989999999999999,34.8,-0.8637532133676092,0.11825
STM32,0.0,50.0,E2,4,Pipot_Ferro_1_0mM_50mVpS_E2_scan_04,0.1682,16.18,74.0356425415292,0.0683,-18.571,100.0,0.09989999999999999,34.751000000000005,-0.8712508750201927,0.11825
STM32,0.0,50.0,E2,5,Pipot_Ferro_1_0mM_50mVpS_E2_scan_05,0.1682,16.214000000000002,75.82522660236673,0.0683,-18.699,100.0,0.09989999999999999,34.913000000000004,-0.8671051927910584,0.11825
STM32,0.0,50.0,E2,6,Pipot_Ferro_1_0mM_50mVpS_E2_scan_06,0.1682,16.240000000000002,77.56040066188638,0.0683,-18.827,100.0,0.09989999999999999,35.06700000000001,-0.8625909597917885,0.11825
STM32,0.0,50.0,E2,7,Pipot_Ferro_1_0mM_50mVpS_E2_scan_07,0.1682,16.266,79.53054934670894,0.0683,-18.897,100.0,0.09989999999999999,35.163,-0.8607715510398476,0.11825
STM32,0.0,50.0,E2,8,Pipot_Ferro_1_0mM_50mVpS_E2_scan_08,0.1682,16.436,77.34134692443716,0.0683,-18.987,100.0,0.09989999999999999,35.423,-0.8656449149418024,0.11825
STM32,0.0,50.0,E2,9,Pipot_Ferro_1_0mM_50mVpS_E2_scan_09,0.1682,16.476,77.77655628651436,0.0683,-18.882,100.0,0.09989999999999999,35.358000000000004,-0.8725770575150936,0.11825
STM32,0.0,50.0,E2,10,Pipot_Ferro_1_0mM_50mVpS_E2_scan_10,0.1682,16.571,78.72311471979211,0.0683,-18.945,100.0,0.09989999999999999,35.516000000000005,-0.8746898917920296,0.11825
STM32,0.0,50.0,E2,11,Pipot_Ferro_1_0mM_50mVpS_E2_scan_11,0.1682,16.717,79.51848206911167,0.0683,-19.025,100.0,0.09989999999999999,35.742,-0.8786859395532195,0.11825
STM32,0.0,50.0,E3,2,Pipot_Ferro_1_0mM_50mVpS_E3_scan_02,0.1682,18.787000000000003,72.61118223869609,0.0585,-21.019,98.09104647363952,0.10969999999999999,39.806,-0.8938103620533805,0.11334999999999999
STM32,0.0,50.0,E3,3,Pipot_Ferro_1_0mM_50mVpS_E3_scan_03,0.1682,18.786,76.23119607391256,0.0585,-21.323,100.0,0.10969999999999999,40.109,-0.8810204943019275,0.11334999999999999
STM32,0.0,50.0,E3,4,Pipot_Ferro_1_0mM_50mVpS_E3_scan_04,0.1682,18.734,78.21061206912768,0.0585,-21.41,100.0,0.10969999999999999,40.144000000000005,-0.8750116767865485,0.11334999999999999
STM32,0.0,50.0,E3,5,Pipot_Ferro_1_0mM_50mVpS_E3_scan_05,0.1682,18.776,75.39922723736493,0.0585,-21.484,100.0,0.10969999999999999,40.260000000000005,-0.8739527089927387,0.11334999999999999
STM32,0.0,50.0,E3,6,Pipot_Ferro_1_0mM_50mVpS_E3_scan_06,0.1682,18.86,76.62604460546339,0.0585,-21.546,100.0,0.10969999999999999,40.406,-0.875336489371577,0.11334999999999999
STM32,0.0,50.0,E3,7,Pipot_Ferro_1_0mM_50mVpS_E3_scan_07,0.1682,18.845,75.03554673130239,0.0683,-21.784,100.0,0.09989999999999999,40.629,-0.8650844656628718,0.11825
STM32,0.0,50.0,E3,8,Pipot_Ferro_1_0mM_50mVpS_E3_scan_08,0.1682,18.898,76.3965623765812,0.0683,-21.689,100.0,0.09989999999999999,40.587,-0.8713172575960164,0.11825
STM32,0.0,50.0,E3,9,Pipot_Ferro_1_0mM_50mVpS_E3_scan_09,0.1682,18.911,77.74184614956678,0.0585,-21.387,100.0,0.10969999999999999,40.298,-0.884228737083275,0.11334999999999999
STM32,0.0,50.0,E3,10,Pipot_Ferro_1_0mM_50mVpS_E3_scan_10,0.1682,18.908,78.97354663256056,0.0585,-21.729000000000003,100.0,0.10969999999999999,40.637,-0.8701735008513967,0.11334999999999999
STM32,0.0,50.0,E3,11,Pipot_Ferro_1_0mM_50mVpS_E3_scan_11,0.1682,19.033,77.45107364446932,0.0683,-22.099,100.0,0.09989999999999999,41.132000000000005,-0.8612606905289832,0.11825
