Voltage(V),Current(uA)
-0.3805,-0.00011848
-0.3903,-0.00011824
-0.4006,-0.00011794
-0.3903,-0.00010313
-0.3805,-9.6257e-05
-0.3708,-9.0012e-05
-0.3604,-8.6057e-05
-0.3507,-8.1936e-05
-0.3409,-7.9182e-05
-0.3306,-7.5252e-05
-0.3208,-7.3217e-05
-0.3105,-7.0832e-05
-0.3007,-6.8309e-05
-0.291,-6.7201e-05
-0.2806,-6.4726e-05
-0.2709,-6.3669e-05
-0.2606,-6.1598e-05
-0.2508,-6.0122e-05
-0.2411,-5.925e-05
-0.2307,-5.8294e-05
-0.221,-5.6789e-05
-0.2112,-5.7069e-05
-0.2009,-5.3601e-05
-0.1911,-5.3552e-05
-0.1808,-5.1601e-05
-0.171,-5.174e-05
-0.1613,-5.0529e-05
-0.1509,-4.9379e-05
-0.1412,-4.8565e-05
-0.1308,-4.8096e-05
-0.1211,-4.7141e-05
-0.1114,-4.6804e-05
-0.101,-4.5412e-05
-0.0913,-4.4339e-05
-0.0815,-4.3555e-05
-0.0712,-4.1663e-05
-0.0614,-4.0712e-05
-0.0511,-3.9344e-05
-0.0413,-3.7844e-05
-0.0316,-3.6441e-05
-0.0212,-3.3705e-05
-0.0115,-3.0817e-05
-0.0011,-2.7249e-05
0.0086,-2.2993e-05
0.0183,-1.7813e-05
0.0287,-1.019e-05
0.0384,-3.4203e-06
0.0482,6.2375e-06
0.0585,1.701e-05
0.0683,2.7927e-05
0.0786,4.1465e-05
0.0884,5.335e-05
0.0981,6.7174e-05
0.1085,8.2387e-05
0.1182,9.5919e-05
0.128,0.00011162
0.1383,0.00012867
0.1481,0.00014476
0.1584,0.00016073
0.1682,0.00017631
0.1779,0.00019296
0.1882,0.00020886
0.198,0.00022474
0.2083,0.00024027
0.2181,0.00025418
0.2278,0.00026708
0.2382,0.0002791
0.2479,0.00028903
0.2577,0.00029574
0.268,0.00030153
0.2778,0.00029886
0.2881,0.00029411
0.2979,0.00028162
0.3076,0.00026545
0.318,0.000249
0.3277,0.00023161
0.338,0.00021706
0.3478,0.00020306
0.3575,0.00019268
0.3679,0.00018215
0.3776,0.00017468
0.3874,0.0001662
0.3977,0.00015998
0.4075,0.00015406
0.4178,0.00014789
0.4276,0.00014393
0.4373,0.00013892
0.4477,0.00013512
0.4574,0.00013153
0.4678,0.00012861
0.4775,0.00012551
0.4872,0.00012296
0.4976,0.00012062
0.5073,0.0001183
0.5171,0.00011552
0.5274,0.00011425
0.5372,0.00011219
0.5475,0.00011035
0.5573,0.00010907
0.567,0.00010651
0.5774,0.00010571
0.5871,0.0001044
0.5975,0.00010332
0.6072,0.00010249
0.6169,0.00010093
0.6273,0.00010057
0.637,9.915e-05
0.6468,9.9053e-05
0.6571,9.8531e-05
0.6669,9.8661e-05
0.6772,9.8587e-05
0.687,9.8121e-05
0.6967,9.7639e-05
0.687,8.5809e-05
0.6772,7.9128e-05
0.6669,7.3342e-05
0.6571,7.0198e-05
0.6468,6.7665e-05
0.637,6.4905e-05
0.6273,6.2836e-05
0.6169,6.0389e-05
0.6072,5.8012e-05
0.5975,5.6543e-05
0.5871,5.5381e-05
0.5774,5.3884e-05
0.567,5.2527e-05
0.5573,5.1199e-05
0.5475,5.0567e-05
0.5372,4.9009e-05
0.5274,4.8248e-05
0.5171,4.6847e-05
0.5073,4.5773e-05
0.4976,4.5084e-05
0.4872,4.44e-05
0.4775,4.3623e-05
0.4678,4.3349e-05
0.4574,4.0946e-05
0.4477,4.0575e-05
0.4373,4.0136e-05
0.4276,3.9672e-05
0.4178,3.8576e-05
0.4075,3.7307e-05
0.3977,3.734e-05
0.3874,3.6504e-05
0.3776,3.5888e-05
0.3679,3.4974e-05
0.3575,3.4759e-05
0.3478,3.4218e-05
0.338,3.2663e-05
0.3277,3.1688e-05
0.318,3.166e-05
0.3076,3.0881e-05
0.2979,2.9786e-05
0.2881,2.8473e-05
0.2778,2.5228e-05
0.268,2.5123e-05
0.2577,2.1635e-05
0.2479,1.9425e-05
0.2382,1.4938e-05
0.2278,1.0003e-05
0.2181,4.4414e-06
0.2083,-2.751e-06
0.198,-1.1304e-05
0.1882,-1.9757e-05
0.1779,-3.1203e-05
0.1682,-4.1686e-05
0.1584,-5.3387e-05
0.1481,-6.7704e-05
0.1383,-8.0807e-05
0.128,-9.6802e-05
0.1182,-0.00011163
0.1085,-0.00012653
0.0981,-0.00014306
0.0884,-0.00015917
0.0786,-0.00017445
0.0683,-0.00019201
0.0585,-0.00020769
0.0482,-0.00022415
0.0384,-0.00023915
0.0287,-0.00025374
0.0183,-0.00026788
0.0086,-0.00027976
-0.0011,-0.00029043
-0.0115,-0.00029908
-0.0212,-0.00030604
-0.0316,-0.00031008
-0.0413,-0.00030971
-0.0511,-0.0003035
-0.0614,-0.00029293
-0.0712,-0.00027624
-0.0815,-0.00025884
-0.0913,-0.00024297
-0.101,-0.00022744
-0.1114,-0.00021524
-0.1211,-0.00020407
-0.1308,-0.00019445
-0.1412,-0.00018687
-0.1509,-0.00017939
-0.1613,-0.0001729
-0.171,-0.00016695
-0.1808,-0.00016219
-0.1911,-0.00015865
-0.2009,-0.00015319
-0.2112,-0.00015118
-0.221,-0.00014669
-0.2307,-0.00014387
-0.2411,-0.00014109
-0.2508,-0.00013908
-0.2606,-0.00013565
-0.2709,-0.00013444
-0.2806,-0.00013155
-0.291,-0.00013004
-0.3007,-0.00012882
-0.3105,-0.00012647
-0.3208,-0.00012632
-0.3306,-0.00012385
-0.3409,-0.0001231
-0.3507,-0.00012129
-0.3604,-0.00012068
-0.3708,-0.00012012
