Voltage(V),Current(uA)
-0.40001,-26.270524
-0.390003,-22.029888
-0.379995,-18.403646
-0.369987,-15.322281
-0.359979,-12.776396
-0.349972,-10.681443
-0.339964,-8.981054
-0.329956,-7.618865
-0.319948,-6.538508
-0.30994,-5.7118
-0.299933,-5.069223
-0.289925,-4.575077
-0.279917,-4.198361
-0.269909,-3.910892
-0.259902,-3.690123
-0.249894,-3.521024
-0.239886,-3.388563
-0.229878,-3.284285
-0.21987,-3.196917
-0.209863,-3.121762
-0.199855,-3.056001
-0.189847,-2.994937
-0.179839,-2.93951
-0.169832,-2.88878
-0.159824,-2.837111
-0.149816,-2.792957
-0.139808,-2.739409
-0.129800904,-2.689619
-0.11979312,-2.640768
-0.109785344,-2.589099
-0.09977756,-2.539308
-0.089769784,-2.48576
-0.079762,-2.433151
-0.069754224,-2.381482
-0.05974644,-2.326055
-0.049738664,-2.264992
-0.039730884,-2.20111
-0.029723104,-2.140985
-0.019715326,-2.068648
-0.009707546,-1.993493
0.000300233,-1.907065
0.010308012,-1.799029
0.020315792,-1.647779
0.03032357,-1.461769
0.040331348,-1.195908
0.050339128,-0.837981
0.060346908,-0.345714
0.070354688,0.301466
0.080362472,1.173737
0.090370248,2.271098
0.100378032,3.047452
0.110385808,5.027887
0.120393584,6.50187
0.13040136,7.850907
0.140409,8.928446
0.150416,9.641481
0.160424,9.955255
0.170432,9.940224
0.18044,9.679998
0.190448,9.268524
0.200455,8.786591
0.210463,8.289626
0.220471,7.809571
0.230479,7.366156
0.240486,6.965014
0.250494,6.60239
0.260502,6.28298
0.27051,5.999269
0.280518,5.748438
0.290525,5.520154
0.300533,5.322872
0.310541,5.150954
0.320549,4.994067
0.330556,4.854091
0.340564,4.730085
0.350572,4.62017
0.36058,4.520589
0.370588,4.432282
0.380595,4.356187
0.390603,4.288547
0.400611,4.229362
0.410619,4.172996
0.420626,4.126024
0.430634,4.085628
0.440642,4.052747
0.45065,4.023625
0.460658,4.001078
0.470665,3.986047
0.480673,3.974774
0.490681,3.972895
0.500689,3.974774
0.510696,3.983229
0.520704,4.001078
0.530712,4.023625
0.54072,4.056505
0.550728,4.085628
0.560735,4.117569
0.570743,4.153268
0.580751,4.198361
0.590759,4.257546
0.600766,4.322367
0.610774,4.400341
0.620782,4.492406
0.63079,4.597624
0.640798,4.717872
0.650805,4.853151
0.660813,5.012856
0.670821,5.19041
0.680829,5.395208
0.690837,5.632887
0.700844,5.909083
0.690837,4.841878
0.680829,4.1326
0.670821,3.591482
0.660813,3.152763
0.650805,2.792018
0.640798,2.484821
0.63079,2.226474
0.620782,1.996311
0.610774,1.798089
0.600766,1.622414
0.590759,1.469285
0.580751,1.331187
0.570743,1.208121
0.560735,1.099145
0.550728,0.993928
0.54072,0.888429
0.530712,0.805476
0.520704,0.735488
0.510696,0.677524
0.500689,0.625197
0.490681,0.577098
0.480673,0.530502
0.470665,0.487569
0.460658,0.446798
0.45065,0.412602
0.440642,0.379628
0.430634,0.349753
0.420626,0.321852
0.410619,0.296487
0.400611,0.274128
0.390603,0.251112
0.380595,0.229599
0.370588,0.21128
0.36058,0.190518
0.350572,0.174078
0.340564,0.156135
0.330556,0.139976
0.320549,0.122221256
0.310541,0.104935552
0.300533,0.0850194
0.290525,0.061721268
0.280518,0.0325986
0.27051,-0.002818322
0.260502,-0.048944872
0.250494,-0.105687104
0.240486,-0.182721
0.230479,-0.290569
0.220471,-0.442758
0.210463,-0.659581
0.200455,-0.966308
0.190448,-1.396572
0.18044,-1.990017
0.170432,-2.783093
0.160424,-3.791583
0.150416,-5.028827
0.140409,-6.452079
0.13040136,-7.945791
0.120393584,-9.377498
0.110385808,-10.582802
0.100378032,-11.446148
0.090370248,-11.922444
0.080362472,-12.028601
0.070354688,-11.849167
0.060346908,-11.479967
0.050339128,-11.015884
0.040331348,-10.515162
0.03032357,-10.022895
0.020315792,-9.568205
0.010308012,-9.142639
0.000300233,-8.759347
-0.009707546,-8.419269
-0.019715326,-8.117708
-0.029723104,-7.849028
-0.039730884,-7.608531
-0.049738664,-7.399036
-0.05974644,-7.20833
-0.069754224,-7.040169
-0.079762,-6.88798
-0.089769784,-6.749882
-0.09977756,-6.621179
-0.109785344,-6.500931
-0.11979312,-6.393834
-0.129800904,-6.300829
-0.139808,-6.209704
-0.149816,-6.120457
-0.159824,-6.037786
-0.169832,-5.962631
-0.179839,-5.898749
-0.189847,-5.841443
-0.199855,-5.800108
-0.209863,-5.76347
-0.21987,-5.743741
-0.229878,-5.750317
-0.239886,-5.776621
-0.249894,-5.825473
-0.259902,-5.917538
-0.269909,-6.059393
-0.279917,-6.270768
-0.289925,-6.577025
-0.299933,-6.996016
-0.30994,-7.574711
-0.319948,-8.354447
-0.329956,-9.37468
-0.339964,-10.677685
-0.349972,-12.297281
-0.359979,-14.273864
-0.369987,-16.652529
-0.379995,-19.48964
-0.390003,-22.842504
