Voltage(V),Current(uA)
-0.40001,-230.831
-0.390003,-109.964824
-0.379995,-75.269024
-0.369987,-57.826332
-0.359979,-46.267464
-0.349972,-38.44192
-0.339964,-32.344948
-0.329956,-27.412886
-0.319948,-23.307528
-0.30994,-19.840992
-0.299933,-17.050852
-0.289925,-14.6177
-0.279917,-12.588507
-0.269909,-10.859936
-0.259902,-9.413197
-0.249894,-8.18253
-0.239886,-7.091839
-0.229878,-6.175884
-0.21987,-5.378299
-0.209863,-4.678415
-0.199855,-4.060263
-0.189847,-3.505053
-0.179839,-2.999634
-0.169832,-2.556218
-0.159824,-2.171987
-0.149816,-1.819697
-0.139808,-1.514378
-0.129800904,-1.237243
-0.11979312,-0.986412
-0.109785344,-0.75531
-0.09977756,-0.543936
-0.089769784,-0.309076
-0.079762,-0.112075304
-0.069754224,0.072524832
-0.05974644,0.242657
-0.049738664,0.392686
-0.039730884,0.537735
-0.029723104,0.679685
-0.019715326,0.839014
-0.009707546,1.025681
0.000300233,1.248141
0.010308012,1.533073
0.020315792,1.902179
0.03032357,2.542784
0.040331348,4.028322
0.050339128,4.204937
0.060346908,5.227049
0.070354688,6.830674
0.080362472,8.978237
0.090370248,11.741132
0.100378032,15.156
0.110385808,19.20499
0.120393584,23.801674
0.13040136,28.785408
0.140409,33.951392
0.150416,39.033768
0.160424,43.712184
0.170432,47.68602
0.18044,50.588888
0.190448,52.148364
0.200455,52.232912
0.210463,50.945876
0.220471,48.672432
0.230479,45.919868
0.240486,43.167308
0.250494,40.640212
0.260502,38.451312
0.27051,36.581824
0.280518,35.003564
0.290525,33.688348
0.300533,32.57981
0.310541,31.574606
0.320549,30.747898
0.330556,29.949374
0.340564,29.207216
0.350572,28.540212
0.36058,27.967154
0.370588,27.478646
0.380595,27.046502
0.390603,26.670726
0.400611,26.304344
0.410619,26.003724
0.420626,25.731286
0.430634,25.496426
0.440642,25.289748
0.45065,25.120648
0.460658,24.979732
0.470665,24.876394
0.480673,24.791844
0.490681,24.716688
0.500689,24.679112
0.510696,24.669716
0.520704,24.679112
0.530712,24.707296
0.54072,24.773056
0.550728,24.838818
0.560735,24.942154
0.570743,25.054888
0.580751,25.214594
0.590759,25.383692
0.600766,25.590368
0.610774,25.806442
0.620782,26.069484
0.63079,26.351316
0.640798,26.670726
0.650805,27.01832
0.660813,27.40349
0.670821,27.826238
0.680829,28.295958
0.690837,28.812652
0.700844,29.395104
0.690837,22.208382
0.680829,18.544562
0.670821,15.998677
0.660813,14.025852
0.650805,12.428803
0.640798,11.076008
0.63079,9.92989
0.620782,8.924688
0.610774,8.04819
0.600766,7.252483
0.590759,6.554478
0.580751,5.914719
0.570743,5.330387
0.560735,4.813695
0.550728,4.332701
0.54072,3.895861
0.530712,3.490962
0.520704,3.110488
0.510696,2.763835
0.500689,2.449122
0.490681,2.151319
0.480673,1.874184
0.470665,1.616777
0.460658,1.373462
0.45065,1.14236
0.440642,0.92347
0.430634,0.724308
0.420626,0.539614
0.410619,0.356329
0.400611,0.184412
0.390603,0.015782608
0.380595,-0.144579
0.370588,-0.306539
0.36058,-0.459668
0.350572,-0.606315
0.340564,-0.764423
0.330556,-0.929388
0.320549,-1.105346
0.310541,-1.297743
0.300533,-1.492583
0.290525,-1.761451
0.280518,-2.056811
0.27051,-2.404498
0.260502,-2.83805
0.250494,-3.398897
0.240486,-4.135418
0.230479,-5.125589
0.220471,-6.465232
0.210463,-8.257685
0.200455,-10.599711
0.190448,-13.555192
0.18044,-17.17016
0.170432,-21.38919
0.160424,-26.121154
0.150416,-31.208226
0.140409,-36.412728
0.13040136,-41.42934
0.120393584,-45.976236
0.110385808,-49.715212
0.100378032,-52.298676
0.090370248,-53.482368
0.080362472,-53.16296
0.070354688,-51.528332
0.060346908,-49.010628
0.050339128,-46.135944
0.040331348,-43.30822
0.03032357,-40.76234
0.020315792,-38.564048
0.010308012,-36.685164
0.000300233,-35.088116
-0.009707546,-33.716532
-0.019715326,-32.57981
-0.029723104,-31.60279
-0.039730884,-30.776082
-0.049738664,-30.052714
-0.05974644,-29.442076
-0.069754224,-28.906596
-0.079762,-28.436874
-0.089769784,-28.014126
-0.09977756,-27.63835
-0.109785344,-27.290756
-0.11979312,-27.008924
-0.129800904,-26.792854
-0.139808,-26.651936
-0.149816,-26.567388
-0.159824,-26.435866
-0.169832,-26.229188
-0.179839,-26.013116
-0.189847,-25.797046
-0.199855,-25.65613
-0.209863,-25.552792
-0.21987,-25.440058
-0.229878,-25.383692
-0.239886,-25.393086
-0.249894,-25.48703
-0.259902,-25.590368
-0.269909,-25.844018
-0.279917,-26.201006
-0.289925,-26.642544
-0.299933,-27.271968
-0.30994,-28.04231
-0.319948,-29.15085
-0.329956,-30.569404
-0.339964,-32.382526
-0.349972,-34.655976
-0.359979,-37.493084
-0.369987,-41.06296
-0.379995,-45.32802
-0.390003,-50.429188
