Voltage(V),Current(uA)
-0.3805,-5.0004e-06
-0.3903,-5.3711e-06
-0.4006,-5.8477e-06
-0.3903,-5.265e-06
-0.3805,-4.7835e-06
-0.3708,-4.3844e-06
-0.3604,-3.9955e-06
-0.3507,-3.6885e-06
-0.3409,-3.4304e-06
-0.3306,-3.2074e-06
-0.3208,-3.0343e-06
-0.3105,-2.8645e-06
-0.3007,-2.7404e-06
-0.291,-2.6245e-06
-0.2806,-2.5404e-06
-0.2709,-2.4614e-06
-0.2606,-2.3864e-06
-0.2508,-2.3318e-06
-0.2411,-2.2777e-06
-0.2307,-2.2332e-06
-0.221,-2.2028e-06
-0.2112,-2.1684e-06
-0.2009,-2.1252e-06
-0.1911,-2.0983e-06
-0.1808,-2.0696e-06
-0.171,-2.051e-06
-0.1613,-2.0238e-06
-0.1509,-1.9895e-06
-0.1412,-1.9771e-06
-0.1308,-1.9504e-06
-0.1211,-1.9277e-06
-0.1114,-1.914e-06
-0.101,-1.882e-06
-0.0913,-1.8514e-06
-0.0815,-1.8402e-06
-0.0712,-1.8206e-06
-0.0614,-1.7941e-06
-0.0511,-1.7655e-06
-0.0413,-1.7366e-06
-0.0316,-1.708e-06
-0.0212,-1.6659e-06
-0.0115,-1.618e-06
-0.0011,-1.5577e-06
0.0086,-1.484e-06
0.0183,-1.3807e-06
0.0287,-1.2218e-06
0.0384,-1.005e-06
0.0482,-7.5967e-07
0.0585,-4.2027e-07
0.0683,-8.5593e-09
0.0786,5.5724e-07
0.0884,1.1479e-06
0.0981,1.853e-06
0.1085,2.7141e-06
0.1182,3.5351e-06
0.128,4.3941e-06
0.1383,5.394e-06
0.1481,6.2458e-06
0.1584,7.1419e-06
0.1682,7.8691e-06
0.1779,8.4812e-06
0.1882,9.0014e-06
0.198,9.2097e-06
0.2083,9.2543e-06
0.2181,8.9897e-06
0.2278,8.5247e-06
0.2382,8.0162e-06
0.2479,7.4433e-06
0.2577,6.925e-06
0.268,6.493e-06
0.2778,6.099e-06
0.2881,5.7582e-06
0.2979,5.4539e-06
