Voltage(V),Current(uA)
-0.40001,-50.716536
-0.390003,-35.074984
-0.379995,-28.34438
-0.369987,-24.14363
-0.359979,-20.310712
-0.349972,-17.182374
-0.339964,-14.570728
-0.329956,-12.438197
-0.319948,-10.681443
-0.30994,-9.262887
-0.299933,-8.116769
-0.289925,-7.172631
-0.279917,-6.440806
-0.269909,-5.84614
-0.259902,-5.368904
-0.249894,-4.980915
-0.239886,-4.662445
-0.229878,-4.40222
-0.21987,-4.189906
-0.209863,-4.012351
-0.199855,-3.859223
-0.189847,-3.726761
-0.179839,-3.609331
-0.169832,-3.509751
-0.159824,-3.416746
-0.149816,-3.335015
-0.139808,-3.254223
-0.129800904,-3.179067
-0.11979312,-3.106731
-0.109785344,-3.036272
-0.09977756,-2.971451
-0.089769784,-2.904751
-0.079762,-2.836172
-0.069754224,-2.764774
-0.05974644,-2.690558
-0.049738664,-2.607888
-0.039730884,-2.518641
-0.029723104,-2.427515
-0.019715326,-2.350481
-0.009707546,-2.296933
0.000300233,-2.222717
0.010308012,-2.097771
0.020315792,-1.928672
0.03032357,-1.707903
0.040331348,-1.404464
0.050339128,-0.995807
0.060346908,-0.433082
0.070354688,0.326925
0.080362472,1.337763
0.090370248,2.664066
0.100378032,4.315791
0.110385808,6.276404
0.120393584,8.474696
0.13040136,10.771629
0.140409,12.996225
0.150416,14.966233
0.160424,16.478732
0.170432,17.431326
0.18044,17.767644
0.190448,17.580696
0.200455,17.014214
0.210463,16.252326
0.220471,15.4228
0.230479,14.601729
0.240486,13.82669
0.250494,13.120231
0.260502,12.487987
0.27051,11.92902
0.280518,11.424541
0.290525,10.977367
0.300533,10.576225
0.310541,10.201389
0.320549,9.874463
0.330556,9.585115
0.340564,9.327708
0.350572,9.092848
0.36058,8.882413
0.370588,8.691707
0.380595,8.520728
0.390603,8.364781
0.400611,8.222926
0.410619,8.09798
0.420626,7.979611
0.430634,7.876272
0.440642,7.77951
0.45065,7.695899
0.460658,7.618865
0.470665,7.552165
0.480673,7.495799
0.490681,7.44319
0.500689,7.402794
0.510696,7.365216
0.520704,7.34173
0.530712,7.322941
0.54072,7.30791
0.550728,7.312607
0.560735,7.314486
0.570743,7.327638
0.580751,7.348306
0.590759,7.384005
0.600766,7.422522
0.610774,7.472312
0.620782,7.532437
0.63079,7.607592
0.640798,7.697778
0.650805,7.797359
0.660813,7.914789
0.670821,8.058524
0.680829,8.216349
0.690837,8.399541
0.700844,8.610915
0.690837,7.304153
0.680829,6.505628
0.670821,5.902507
0.660813,5.418695
0.650805,5.021311
0.640798,4.678415
0.63079,4.386249
0.620782,4.131661
0.610774,3.909952
0.600766,3.707973
0.590759,3.5276
0.580751,3.369774
0.570743,3.2251
0.560735,3.092639
0.550728,2.974269
0.54072,2.864355
0.530712,2.761956
0.520704,2.668012
0.510696,2.581583
0.500689,2.497033
0.490681,2.420939
0.480673,2.350481
0.470665,2.285659
0.460658,2.223656
0.45065,2.162592
0.440642,2.107166
0.430634,2.052678
0.420626,2.002887
0.410619,1.953097
0.400611,1.905186
0.390603,1.857274
0.380595,1.814999
0.370588,1.768967
0.36058,1.728571
0.350572,1.687235
0.340564,1.6459
0.330556,1.597049
0.320549,1.551956
0.310541,1.49465
0.300533,1.436405
0.290525,1.362189
0.280518,1.278579
0.27051,1.17618
0.260502,1.054052
0.250494,0.891529
0.240486,0.673485
0.230479,0.370327
0.220471,-0.050635864
0.210463,-0.634122
0.200455,-1.436593
0.190448,-2.513661
0.18044,-3.904316
0.170432,-5.635706
0.160424,-7.663019
0.150416,-9.897949
0.140409,-12.193003
0.13040136,-14.374384
0.120393584,-16.242933
0.110385808,-17.621092
0.100378032,-18.407404
0.090370248,-18.583078
0.080362472,-18.258032
0.070354688,-17.60982
0.060346908,-16.798142
0.050339128,-15.953584
0.040331348,-15.124058
0.03032357,-14.355596
0.020315792,-13.661349
0.010308012,-13.03756
0.000300233,-12.485169
-0.009707546,-11.9976
-0.019715326,-11.571093
-0.029723104,-11.18968
-0.039730884,-10.849603
-0.049738664,-10.554618
-0.05974644,-10.284999
-0.069754224,-10.043562
-0.079762,-9.821854
-0.089769784,-9.621753
-0.09977756,-9.436684
-0.109785344,-9.270403
-0.11979312,-9.120091
-0.129800904,-8.979175
-0.139808,-8.844836
-0.149816,-8.722709
-0.159824,-8.605278
-0.169832,-8.500061
-0.179839,-8.404238
-0.189847,-8.320627
-0.199855,-8.248291
-0.209863,-8.190984
-0.21987,-8.153407
-0.229878,-8.135558
-0.239886,-8.151528
-0.249894,-8.209774
-0.259902,-8.316869
-0.269909,-8.488788
-0.279917,-8.75277
-0.289925,-9.121971
-0.299933,-9.646179
-0.30994,-10.341365
-0.319948,-11.282685
-0.329956,-12.502079
-0.339964,-14.044641
-0.349972,-15.939493
-0.359979,-18.207302
-0.369987,-20.90256
-0.379995,-24.057202
-0.390003,-27.718202
