Voltage(V),Current(uA)
-0.40001,-29.263582
-0.390003,-24.93276
-0.379995,-21.090448
-0.369987,-17.746038
-0.359979,-14.871349
-0.349972,-12.46638
-0.339964,-10.465371
-0.329956,-8.830744
-0.319948,-7.524921
-0.30994,-6.499052
-0.299933,-5.696769
-0.289925,-5.078617
-0.279917,-4.607957
-0.269909,-4.25003
-0.259902,-3.976653
-0.249894,-3.770915
-0.239886,-3.608392
-0.229878,-3.486265
-0.21987,-3.383866
-0.209863,-3.304953
-0.199855,-3.230737
-0.189847,-3.172491
-0.179839,-3.115185
-0.169832,-3.060698
-0.159824,-3.008089
-0.149816,-2.962057
-0.139808,-2.915085
-0.129800904,-2.866234
-0.11979312,-2.816443
-0.109785344,-2.764774
-0.09977756,-2.715923
-0.089769784,-2.663314
-0.079762,-2.607888
-0.069754224,-2.550581
-0.05974644,-2.490457
-0.049738664,-2.429394
-0.039730884,-2.359875
-0.029723104,-2.295054
-0.019715326,-2.221777
-0.009707546,-2.143804
0.000300233,-2.062072
0.010308012,-1.96531
0.020315792,-1.823454
0.03032357,-1.588594
0.040331348,-1.434526
0.050339128,-1.170543
0.060346908,-0.832344
0.070354688,-0.31847
0.080362472,0.357269
0.090370248,1.241565
0.100378032,2.346535
0.110385808,3.051398
0.120393584,5.088951
0.13040136,6.556357
0.140409,7.911031
0.150416,9.027087
0.160424,9.804945
0.170432,10.200449
0.18044,10.250239
0.190448,10.035108
0.200455,9.653695
0.210463,9.186792
0.220471,8.690767
0.230479,8.204137
0.240486,7.742871
0.250494,7.325759
0.260502,6.949983
0.27051,6.608966
0.280518,6.303648
0.290525,6.030271
0.300533,5.786016
0.310541,5.568066
0.320549,5.372662
0.330556,5.195108
0.340564,5.038221
0.350572,4.894487
0.36058,4.764844
0.370588,4.648353
0.380595,4.542196
0.390603,4.442616
0.400611,4.355248
0.410619,4.277274
0.420626,4.206816
0.430634,4.141055
0.440642,4.08187
0.45065,4.029262
0.460658,3.983229
0.470665,3.941893
0.480673,3.906195
0.490681,3.873314
0.500689,3.84701
0.510696,3.827282
0.520704,3.81319
0.530712,3.801917
0.54072,3.795341
0.550728,3.79722
0.560735,3.803796
0.570743,3.816948
0.580751,3.834797
0.590759,3.856404
0.600766,3.888345
0.610774,3.929681
0.620782,3.978532
0.63079,4.035838
0.640798,4.108174
0.650805,4.189906
0.660813,4.28385
0.670821,4.394704
0.680829,4.524347
0.690837,4.676536
0.700844,4.849393
0.690837,4.085628
0.680829,3.585845
0.670821,3.203493
0.660813,2.898175
0.650805,2.644526
0.640798,2.430333
0.63079,2.249021
0.620782,2.093074
0.610774,1.954037
0.600766,1.832849
0.590759,1.726692
0.580751,1.628051
0.570743,1.541622
0.560735,1.464588
0.550728,1.39319
0.54072,1.330248
0.530712,1.272003
0.520704,1.218454
0.510696,1.169603
0.500689,1.123571
0.490681,1.079041
0.480673,1.039679
0.470665,1.003416
0.460658,0.968939
0.45065,0.936434
0.440642,0.905902
0.430634,0.877343
0.420626,0.850663
0.410619,0.824547
0.400611,0.800027
0.390603,0.776823
0.380595,0.754277
0.370588,0.732482
0.36058,0.71125
0.350572,0.689737
0.340564,0.669069
0.330556,0.646711
0.320549,0.624352
0.310541,0.598517
0.300533,0.569489
0.290525,0.53426
0.280518,0.491797
0.27051,0.439094
0.260502,0.373427
0.250494,0.286905
0.240486,0.167596
0.230479,0.004791148
0.220471,-0.229881
0.210463,-0.555585
0.200455,-1.006986
0.190448,-1.622414
0.18044,-2.435782
0.170432,-3.055907
0.160424,-4.709417
0.150416,-6.127033
0.140409,-7.619804
0.13040136,-9.060907
0.120393584,-10.310363
0.110385808,-11.252623
0.100378032,-11.806893
0.090370248,-12.005115
0.080362472,-11.897079
0.070354688,-11.580487
0.060346908,-11.13895
0.050339128,-10.657957
0.040331348,-10.175084
0.03032357,-9.719455
0.020315792,-9.288252
0.010308012,-8.902142
0.000300233,-8.55267
-0.009707546,-8.240775
-0.019715326,-7.9627
-0.029723104,-7.717506
-0.039730884,-7.496738
-0.049738664,-7.301334
-0.05974644,-7.120022
-0.069754224,-6.959378
-0.079762,-6.810006
-0.089769784,-6.676606
-0.09977756,-6.561994
-0.109785344,-6.459595
-0.11979312,-6.379743
-0.129800904,-6.292375
-0.139808,-6.185278
-0.149816,-6.08194
-0.159824,-6.006784
-0.169832,-5.96451
-0.179839,-5.923174
-0.189847,-5.837685
-0.199855,-5.817957
-0.209863,-5.760651
-0.21987,-5.772864
-0.229878,-5.760651
-0.239886,-5.790713
-0.249894,-5.907204
-0.259902,-6.020876
-0.269909,-6.226614
-0.279917,-6.519719
-0.289925,-6.942468
-0.299933,-7.540892
-0.30994,-8.288687
-0.319948,-9.29201
-0.329956,-10.548981
-0.339964,-12.069936
-0.349972,-13.92815
-0.359979,-16.142412
-0.369987,-18.782242
-0.379995,-21.897426
-0.390003,-25.515214
