Voltage(V),Current(uA)
-0.40001,-30.4097
-0.390003,-25.82523
-0.379995,-21.907762
-0.369987,-18.58214
-0.359979,-15.745028
-0.349972,-13.396427
-0.339964,-11.442389
-0.329956,-9.845341
-0.319948,-8.567701
-0.30994,-7.533376
-0.299933,-6.715123
-0.289925,-6.065969
-0.279917,-5.54458
-0.269909,-5.128407
-0.259902,-4.791148
-0.249894,-4.522468
-0.239886,-4.301699
-0.229878,-4.128842
-0.21987,-3.988865
-0.209863,-3.868617
-0.199855,-3.769036
-0.189847,-3.674153
-0.179839,-3.589603
-0.169832,-3.513508
-0.159824,-3.440232
-0.149816,-3.375411
-0.139808,-3.30871
-0.129800904,-3.24201
-0.11979312,-3.176249
-0.109785344,-3.10767
-0.09977756,-3.043788
-0.089769784,-2.975209
-0.079762,-2.901932
-0.069754224,-2.823959
-0.05974644,-2.745046
-0.049738664,-2.65486
-0.039730884,-2.559976
-0.029723104,-2.459456
-0.019715326,-2.343904
-0.009707546,-2.209565
0.000300233,-2.050799
0.010308012,-1.846001
0.020315792,-1.548198
0.03032357,-1.220333
0.040331348,-0.744976
0.050339128,-0.099580736
0.060346908,0.765362
0.070354688,1.937596
0.080362472,3.048015
0.090370248,5.336024
0.100378032,7.554044
0.110385808,10.005045
0.120393584,12.528383
0.13040136,14.911745
0.140409,16.906178
0.150416,18.336008
0.160424,19.074408
0.170432,19.17023
0.18044,18.741846
0.190448,17.973382
0.200455,17.057428
0.210463,16.105774
0.220471,15.193577
0.230479,14.349959
0.240486,13.589952
0.250494,12.917311
0.260502,12.31607
0.27051,11.780589
0.280518,11.301473
0.290525,10.87121
0.300533,10.482282
0.310541,10.144082
0.320549,9.848158
0.330556,9.586994
0.340564,9.355892
0.350572,9.151093
0.36058,8.967902
0.370588,8.811016
0.380595,8.671979
0.390603,8.55267
0.400611,8.441816
0.410619,8.34975
0.420626,8.267079
0.430634,8.19944
0.440642,8.144013
0.45065,8.09798
0.460658,8.062281
0.470665,8.039734
0.480673,8.020946
0.490681,8.01437
0.500689,8.020946
0.510696,8.035976
0.520704,8.066978
0.530712,8.110193
0.54072,8.165619
0.550728,8.220107
0.560735,8.276474
0.570743,8.330961
0.580751,8.396722
0.590759,8.475635
0.600766,8.56958
0.610774,8.678555
0.620782,8.800682
0.63079,8.940658
0.640798,9.103182
0.650805,9.282615
0.660813,9.489292
0.670821,9.717577
0.680829,9.977801
0.690837,10.276544
0.700844,10.611924
0.690837,8.734921
0.680829,7.55968
0.670821,6.66909
0.660813,5.951358
0.650805,5.351994
0.640798,4.837181
0.63079,4.392825
0.620782,4.008594
0.610774,3.672274
0.600766,3.366956
0.590759,3.095457
0.580751,2.852142
0.570743,2.628555
0.560735,2.425636
0.550728,2.232111
0.54072,2.052678
0.530712,1.891094
0.520704,1.74736
0.510696,1.633687
0.500689,1.535985
0.490681,1.446739
0.480673,1.362189
0.470665,1.279518
0.460658,1.195908
0.45065,1.12545
0.440642,1.055931
0.430634,0.978239
0.420626,0.917739
0.410619,0.860809
0.400611,0.809234
0.390603,0.755592
0.380595,0.706459
0.370588,0.660239
0.36058,0.615897
0.350572,0.575783
0.340564,0.531441
0.330556,0.490951
0.320549,0.448676
0.310541,0.404805
0.300533,0.354826
0.290525,0.296393
0.280518,0.228565
0.27051,0.147586
0.260502,0.048944872
0.250494,-0.072149064
0.240486,-0.225465
0.230479,-0.43186
0.220471,-0.722336
0.210463,-1.134562
0.200455,-1.707997
0.190448,-2.507367
0.18044,-3.581148
0.170432,-5.016614
0.160424,-6.826917
0.150416,-8.982933
0.140409,-11.413267
0.13040136,-13.941302
0.120393584,-16.365998
0.110385808,-18.427134
0.100378032,-19.933994
0.090370248,-20.7654
0.080362472,-20.91571
0.070354688,-20.523026
0.060346908,-19.767714
0.050339128,-18.84988
0.040331348,-17.881316
0.03032357,-16.955968
0.020315792,-16.102956
0.010308012,-15.333553
0.000300233,-14.649641
-0.009707546,-14.043701
-0.019715326,-13.516675
-0.029723104,-13.049773
-0.039730884,-12.640177
-0.049738664,-12.280371
-0.05974644,-11.959082
-0.069754224,-11.679129
-0.079762,-11.423601
-0.089769784,-11.194378
-0.09977756,-10.9877
-0.109785344,-10.804509
-0.11979312,-10.639168
-0.129800904,-10.495433
-0.139808,-10.362972
-0.149816,-10.230511
-0.159824,-10.097111
-0.169832,-9.982499
-0.179839,-9.881979
-0.189847,-9.79461
-0.199855,-9.719455
-0.209863,-9.655573
-0.21987,-9.61048
-0.229878,-9.581357
-0.239886,-9.582297
-0.249894,-9.608601
-0.259902,-9.67812
-0.269909,-9.798368
-0.279917,-9.98062
-0.289925,-10.2493
-0.299933,-10.625076
-0.30994,-11.144587
-0.319948,-11.854804
-0.329956,-12.812095
-0.339964,-14.083158
-0.349972,-15.710269
-0.359979,-17.747918
-0.369987,-20.235556
-0.379995,-23.22016
-0.390003,-26.74776
