Voltage(V),Current(uA)
-0.40001,-32.297976
-0.390003,-27.835632
-0.379995,-23.880586
-0.369987,-20.404654
-0.359979,-17.426628
-0.349972,-14.861955
-0.339964,-12.720029
-0.329956,-10.916302
-0.319948,-9.44138
-0.30994,-8.238896
-0.299933,-7.290061
-0.289925,-6.522537
-0.279917,-5.916598
-0.269909,-5.436544
-0.259902,-5.055131
-0.249894,-4.749813
-0.239886,-4.505558
-0.229878,-4.324246
-0.21987,-4.172056
-0.209863,-4.046171
-0.199855,-3.939075
-0.189847,-3.84607
-0.179839,-3.765279
-0.169832,-3.688244
-0.159824,-3.625302
-0.149816,-3.56142
-0.139808,-3.500356
-0.129800904,-3.437414
-0.11979312,-3.37635
-0.109785344,-3.313408
-0.09977756,-3.249526
-0.089769784,-3.185644
-0.079762,-3.117064
-0.069754224,-3.046606
-0.05974644,-2.969572
-0.049738664,-2.886901
-0.039730884,-2.801412
-0.029723104,-2.706529
-0.019715326,-2.600372
-0.009707546,-2.488578
0.000300233,-2.350481
0.010308012,-2.187018
0.020315792,-1.974704
0.03032357,-1.194029
0.040331348,-1.261669
0.050339128,-0.811676
0.060346908,-0.270558
0.070354688,0.550512
0.080362472,1.647967
0.090370248,2.975209
0.100378032,4.800543
0.110385808,6.83819
0.120393584,9.107879
0.13040136,11.481846
0.140409,13.785355
0.150416,15.826761
0.160424,17.419114
0.170432,18.439346
0.18044,18.832972
0.190448,18.656356
0.200455,18.072964
0.210463,17.25565
0.220471,16.352847
0.230479,15.452862
0.240486,14.591395
0.250494,13.814478
0.260502,13.113655
0.27051,12.486108
0.280518,11.922444
0.290525,11.417964
0.300533,10.953881
0.310541,10.530193
0.320549,10.154416
0.330556,9.821854
0.340564,9.525931
0.350572,9.263826
0.36058,9.023329
0.370588,8.806319
0.380595,8.612794
0.390603,8.436179
0.400611,8.277414
0.410619,8.1318
0.420626,8.001217
0.430634,7.881909
0.440642,7.775752
0.45065,7.679928
0.460658,7.5935
0.470665,7.514587
0.480673,7.450705
0.490681,7.398097
0.500689,7.34267
0.510696,7.303213
0.520704,7.272212
0.530712,7.250604
0.54072,7.235573
0.550728,7.228058
0.560735,7.231815
0.570743,7.244968
0.580751,7.263756
0.590759,7.296637
0.600766,7.335154
0.610774,7.386823
0.620782,7.446947
0.63079,7.524921
0.640798,7.618865
0.650805,7.726901
0.660813,7.856544
0.670821,8.000278
0.680829,8.170317
0.690837,8.36666
0.700844,8.593066
0.690837,7.191419
0.680829,6.354378
0.670821,5.72871
0.660813,5.228927
0.650805,4.812755
0.640798,4.463283
0.63079,4.162662
0.620782,3.900558
0.610774,3.671335
0.600766,3.464658
0.590759,3.285224
0.580751,3.121762
0.570743,2.97239
0.560735,2.839929
0.550728,2.716863
0.54072,2.60413
0.530712,2.501731
0.520704,2.407786
0.510696,2.319479
0.500689,2.239627
0.490681,2.162592
0.480673,2.088377
0.470665,2.025434
0.460658,1.958734
0.45065,1.904246
0.440642,1.845061
0.430634,1.788695
0.420626,1.740783
0.410619,1.691933
0.400611,1.64496
0.390603,1.597988
0.380595,1.554774
0.370588,1.513439
0.36058,1.467406
0.350572,1.435465
0.340564,1.396948
0.330556,1.347158
0.320549,1.297367
0.310541,1.241001
0.300533,1.178998
0.290525,1.101024
0.280518,1.012717
0.27051,0.902708
0.260502,0.774475
0.250494,0.607724
0.240486,0.381694
0.230479,0.075718936
0.220471,-0.36253
0.210463,-0.96659
0.200455,-1.796117
0.190448,-2.886619
0.18044,-4.329883
0.170432,-6.095092
0.160424,-8.175015
0.150416,-10.463492
0.140409,-12.850612
0.13040136,-15.13815
0.120393584,-17.151372
0.110385808,-18.70145
0.100378032,-19.650286
0.090370248,-19.973452
0.080362472,-19.747986
0.070354688,-19.125138
0.060346908,-18.292792
0.050339128,-17.396566
0.040331348,-16.508795
0.03032357,-15.682086
0.020315792,-14.929595
0.010308012,-14.263531
0.000300233,-13.670743
-0.009707546,-13.139959
-0.019715326,-12.678694
-0.029723104,-12.270037
-0.039730884,-11.904595
-0.049738664,-11.578609
-0.05974644,-11.2902
-0.069754224,-11.029036
-0.079762,-10.791357
-0.089769784,-10.579983
-0.09977756,-10.387398
-0.109785344,-10.223935
-0.11979312,-10.09805
-0.129800904,-10.01256
-0.139808,-9.904525
-0.149816,-9.701606
-0.159824,-9.54378
-0.169832,-9.404742
-0.179839,-9.313616
-0.189847,-9.22437
-0.199855,-9.127608
-0.209863,-9.050573
-0.21987,-9.025208
-0.229878,-9.018632
-0.239886,-8.982933
-0.249894,-9.035542
-0.259902,-9.171761
-0.269909,-9.32395
-0.279917,-9.573842
-0.289925,-9.956194
-0.299933,-10.445643
-0.30994,-11.124859
-0.319948,-12.024843
-0.329956,-13.247995
-0.339964,-14.742645
-0.349972,-16.578313
-0.359979,-18.827334
-0.369987,-21.477496
-0.379995,-24.585166
-0.390003,-28.186984
