Voltage(V),Current(uA)
-0.40001,-44.670412
-0.390003,-38.066144
-0.379995,-32.063118
-0.369987,-26.717698
-0.359979,-22.067466
-0.349972,-18.149998
-0.339964,-14.871349
-0.329956,-12.269097
-0.319948,-10.089595
-0.30994,-8.426785
-0.299933,-7.137871
-0.289925,-6.135488
-0.279917,-5.380178
-0.269909,-4.809937
-0.259902,-4.379673
-0.249894,-4.054627
-0.239886,-3.802856
-0.229878,-3.608392
-0.21987,-3.454324
-0.209863,-3.32656
-0.199855,-3.218524
-0.189847,-3.12458
-0.179839,-3.04003
-0.169832,-2.958299
-0.159824,-2.886901
-0.149816,-2.817383
-0.139808,-2.749743
-0.129800904,-2.680224
-0.11979312,-2.618221
-0.109785344,-2.5534
-0.09977756,-2.490457
-0.089769784,-2.425636
-0.079762,-2.357996
-0.069754224,-2.287538
-0.05974644,-2.21802
-0.049738664,-2.148501
-0.039730884,-2.075224
-0.029723104,-2.001009
-0.019715326,-1.926793
-0.009707546,-1.843183
0.000300233,-1.755815
0.010308012,-1.656234
0.020315792,-1.531288
0.03032357,-1.232546
0.040331348,-1.181816
0.050339128,-0.921591
0.060346908,-0.558027
0.070354688,-0.055896732
0.080362472,0.601524
0.090370248,1.467782
0.100378032,2.564955
0.110385808,3.86392
0.120393584,5.346358
0.13040136,6.890799
0.140409,8.341296
0.150416,9.536264
0.160424,10.370487
0.170432,10.795115
0.18044,10.851482
0.190448,10.623197
0.200455,10.217359
0.210463,9.724152
0.220471,9.196186
0.230479,8.68607
0.240486,8.206016
0.250494,7.765418
0.260502,7.370853
0.27051,7.018563
0.280518,6.709486
0.290525,6.427654
0.300533,6.179642
0.310541,5.959813
0.320549,5.766288
0.330556,5.596249
0.340564,5.44406
0.350572,5.30972
0.36058,5.19041
0.370588,5.088951
0.380595,4.991249
0.390603,4.907639
0.400611,4.836241
0.410619,4.777056
0.420626,4.72069
0.430634,4.672779
0.440642,4.632383
0.45065,4.599502
0.460658,4.573198
0.470665,4.554409
0.480673,4.542196
0.490681,4.534681
0.500689,4.53656
0.510696,4.541257
0.520704,4.553469
0.530712,4.576016
0.54072,4.602321
0.550728,4.631443
0.560735,4.681233
0.570743,4.727266
0.580751,4.785511
0.590759,4.854091
0.600766,4.93864
0.610774,5.026948
0.620782,5.132165
0.63079,5.253353
0.640798,5.387693
0.650805,5.541761
0.660813,5.715558
0.670821,5.91378
0.680829,6.139246
0.690837,6.399471
0.700844,6.696334
0.690837,5.458151
0.680829,4.657747
0.670821,4.043353
0.660813,3.553904
0.650805,3.150884
0.640798,2.816443
0.63079,2.526156
0.620782,2.278144
0.610774,2.064891
0.600766,1.877942
0.590759,1.711661
0.580751,1.567926
0.570743,1.438283
0.560735,1.32649
0.550728,1.224091
0.54072,1.127329
0.530712,1.045597
0.520704,0.985097
0.510696,0.915485
0.500689,0.853575
0.490681,0.796645
0.480673,0.7446
0.470665,0.696689
0.460658,0.651784
0.45065,0.611576
0.440642,0.57381
0.430634,0.538393
0.420626,0.50711
0.410619,0.47686
0.400611,0.446985
0.390603,0.41899
0.380595,0.393531
0.370588,0.369951
0.36058,0.346559
0.350572,0.323825
0.340564,0.301184
0.330556,0.278356
0.320549,0.255433
0.310541,0.228284
0.300533,0.198503
0.290525,0.161771
0.280518,0.116772504
0.27051,0.0620031
0.260502,-0.009112577
0.250494,-0.10108384
0.240486,-0.229505
0.230479,-0.411005
0.220471,-0.664936
0.210463,-1.021829
0.200455,-1.5187
0.190448,-2.192561
0.18044,-3.011283
0.170432,-4.237817
0.160424,-5.59437
0.150416,-7.116264
0.140409,-8.684192
0.13040136,-10.146901
0.120393584,-11.341869
0.110385808,-12.167638
0.100378032,-12.579113
0.090370248,-12.621388
0.080362472,-12.392165
0.070354688,-11.988204
0.060346908,-11.501575
0.050339128,-10.986761
0.040331348,-10.48416
0.03032357,-10.018197
0.020315792,-9.586994
0.010308012,-9.202763
0.000300233,-8.857048
-0.009707546,-8.550791
-0.019715326,-8.285868
-0.029723104,-8.051008
-0.039730884,-7.842452
-0.049738664,-7.657382
-0.05974644,-7.486404
-0.069754224,-7.336094
-0.079762,-7.200814
-0.089769784,-7.074929
-0.09977756,-6.959378
-0.109785344,-6.860736
-0.11979312,-6.776187
-0.129800904,-6.685061
-0.139808,-6.621179
-0.149816,-6.60239
-0.159824,-6.595814
-0.169832,-6.453019
-0.179839,-6.422957
-0.189847,-6.443625
-0.199855,-6.394304
-0.209863,-6.35062
-0.21987,-6.360014
-0.229878,-6.425775
-0.239886,-6.538508
-0.249894,-6.73767
-0.259902,-7.050504
-0.269909,-7.386823
-0.279917,-7.926062
-0.289925,-8.640977
-0.299933,-9.623632
-0.30994,-10.931334
-0.319948,-12.612933
-0.329956,-22.649918
-0.339964,-25.742558
-0.349972,-27.535012
-0.359979,-23.82422
-0.369987,-27.995338
-0.379995,-32.918006
-0.390003,-38.61102
