Voltage(V),Current(uA)
-0.40001,-30.926392
-0.390003,-24.106052
-0.379995,-20.357682
-0.369987,-17.126006
-0.359979,-14.345262
-0.349972,-12.015448
-0.339964,-10.09899
-0.329956,-8.548912
-0.319948,-7.316365
-0.30994,-6.341226
-0.299933,-5.591552
-0.289925,-5.011917
-0.279917,-4.57038
-0.269909,-4.23312
-0.259902,-3.979471
-0.249894,-3.785946
-0.239886,-3.634696
-0.229878,-3.522903
-0.21987,-3.426141
-0.209863,-3.344409
-0.199855,-3.279588
-0.189847,-3.219464
-0.179839,-3.163097
-0.169832,-3.110488
-0.159824,-3.062577
-0.149816,-3.015605
-0.139808,-2.965814
-0.129800904,-2.919782
-0.11979312,-2.869052
-0.109785344,-2.819262
-0.09977756,-2.766653
-0.089769784,-2.713105
-0.079762,-2.659557
-0.069754224,-2.60413
-0.05974644,-2.548703
-0.049738664,-2.491397
-0.039730884,-2.428454
-0.029723104,-2.365512
-0.019715326,-2.295054
-0.009707546,-2.221777
0.000300233,-2.137228
0.010308012,-2.031071
0.020315792,-1.509681
0.03032357,-1.132965
0.040331348,-0.901863
0.050339128,-0.442476
0.060346908,-0.125321408
0.070354688,-0.088683224
0.080362472,0.461171
0.090370248,1.372523
0.100378032,2.5053
0.110385808,3.818827
0.120393584,5.239262
0.13040136,6.649362
0.140409,7.916668
0.150416,8.915293
0.160424,9.556932
0.170432,9.833127
0.18044,9.797428
0.190448,9.530627
0.200455,9.127608
0.210463,8.662584
0.220471,8.180651
0.230479,7.714688
0.240486,7.275969
0.250494,6.878586
0.260502,6.522537
0.27051,6.203128
0.280518,5.916598
0.290525,5.657313
0.300533,5.423392
0.310541,5.211078
0.320549,5.025069
0.330556,4.858788
0.340564,4.708477
0.350572,4.568501
0.36058,4.442616
0.370588,4.33364
0.380595,4.228423
0.390603,4.1326
0.400611,4.049929
0.410619,3.970077
0.420626,3.904316
0.430634,3.837616
0.440642,3.778431
0.45065,3.727701
0.460658,3.682608
0.470665,3.64503
0.480673,3.608392
0.490681,3.579269
0.500689,3.551086
0.510696,3.530418
0.520704,3.515387
0.530712,3.505993
0.54072,3.501296
0.550728,3.503175
0.560735,3.513508
0.570743,3.525721
0.580751,3.54451
0.590759,3.570814
0.600766,3.603695
0.610774,3.64597
0.620782,3.703276
0.63079,3.76246
0.640798,3.838555
0.650805,3.926863
0.660813,4.028322
0.670821,4.150449
0.680829,4.289487
0.690837,4.452949
0.700844,4.644595
0.690837,3.871435
0.680829,3.365077
0.670821,2.979906
0.660813,2.674588
0.650805,2.424696
0.640798,2.207686
0.63079,2.024495
0.620782,1.86479
0.610774,1.72951
0.600766,1.609262
0.590759,1.498408
0.580751,1.404464
0.570743,1.320853
0.560735,1.241001
0.550728,1.174301
0.54072,1.109479
0.530712,1.051234
0.520704,0.993552
0.510696,0.946768
0.500689,0.903084
0.490681,0.862876
0.480673,0.824641
0.470665,0.7896
0.460658,0.756907
0.45065,0.727503
0.440642,0.699601
0.430634,0.672169
0.420626,0.647086
0.410619,0.623694
0.400611,0.601617
0.390603,0.580856
0.380595,0.561034
0.370588,0.540554
0.36058,0.522235
0.350572,0.50354
0.340564,0.484751
0.330556,0.465586
0.320549,0.445388
0.310541,0.422466
0.300533,0.396913
0.290525,0.365724
0.280518,0.327676
0.27051,0.281644
0.260502,0.224244
0.250494,0.149277
0.240486,0.04640838
0.230479,-0.094883528
0.220471,-0.297145
0.210463,-0.581889
0.200455,-0.979085
0.190448,-1.521236
0.18044,-2.248082
0.170432,-3.052619
0.160424,-4.331761
0.150416,-5.670465
0.140409,-7.114386
0.13040136,-8.55173
0.120393584,-9.845341
0.110385808,-10.865573
0.100378032,-11.52694
0.090370248,-11.816287
0.080362472,-11.81065
0.070354688,-11.54291
0.060346908,-11.13989
0.050339128,-10.675806
0.040331348,-10.192933
0.03032357,-9.735426
0.020315792,-9.306101
0.010308012,-8.918112
0.000300233,-8.563003
-0.009707546,-8.246412
-0.019715326,-7.966458
-0.029723104,-7.713749
-0.039730884,-7.490162
-0.049738664,-7.292879
-0.05974644,-7.112507
-0.069754224,-6.951862
-0.079762,-6.798733
-0.089769784,-6.662514
-0.09977756,-6.546024
-0.109785344,-6.445504
-0.11979312,-6.363772
-0.129800904,-6.370348
-0.139808,-6.56951
-0.149816,-6.46899
-0.159824,-6.207825
-0.169832,-6.205007
-0.179839,-5.986117
-0.189847,-5.909083
-0.199855,-5.843322
-0.209863,-5.77944
-0.21987,-5.756894
-0.229878,-5.764409
-0.239886,-5.811381
-0.249894,-5.843322
-0.259902,-5.957934
-0.269909,-6.143004
-0.279917,-6.403229
-0.289925,-6.780884
-0.299933,-7.301334
-0.30994,-8.015309
-0.319948,-8.933143
-0.329956,-10.115899
-0.339964,-12.565021
-0.349972,-13.362607
-0.359979,-15.466015
-0.369987,-17.962108
-0.379995,-20.941076
-0.390003,-24.42922
