Voltage(V),Current(uA)
-0.40001,-61.674288
-0.390003,-53.914512
-0.379995,-47.44176
-0.369987,-41.607836
-0.359979,-36.39394
-0.349972,-31.800074
-0.339964,-27.78866
-0.329956,-24.303336
-0.319948,-21.297124
-0.30994,-18.779422
-0.299933,-16.618709
-0.289925,-14.843165
-0.279917,-13.358849
-0.269909,-12.128181
-0.259902,-11.104191
-0.249894,-10.268088
-0.239886,-9.540961
-0.229878,-8.935022
-0.21987,-8.411753
-0.209863,-7.968337
-0.199855,-7.575651
-0.189847,-7.228997
-0.179839,-6.95562
-0.169832,-6.687879
-0.159824,-6.469929
-0.149816,-6.284859
-0.139808,-6.124215
-0.129800904,-5.973904
-0.11979312,-5.825473
-0.109785344,-5.684556
-0.09977756,-5.545519
-0.089769784,-5.398027
-0.079762,-5.252414
-0.069754224,-5.099285
-0.05974644,-4.960248
-0.049738664,-4.813695
-0.039730884,-4.662445
-0.029723104,-4.505558
-0.019715326,-4.330822
-0.009707546,-4.139176
0.000300233,-3.915589
0.010308012,-3.636575
0.020315792,-3.302134
0.03032357,-2.792957
0.040331348,-2.076164
0.050339128,-1.489013
0.060346908,-0.466902
0.070354688,0.955411
0.080362472,2.880325
0.090370248,5.429028
0.100378032,8.725526
0.110385808,12.799882
0.120393584,17.730068
0.13040136,23.391138
0.140409,29.65345
0.150416,36.346968
0.160424,43.120336
0.170432,49.780972
0.18034,55.774604
0.190448,61.05426
0.200455,65.009304
0.210463,67.27336
0.220471,67.649136
0.230479,66.146028
0.240486,63.214972
0.250494,59.569944
0.260502,55.859152
0.27051,52.439588
0.280518,49.452168
0.290525,46.896888
0.300533,44.698596
0.310541,42.77274
0.320549,41.100536
0.330556,39.588036
0.340564,38.20706
0.350572,36.938812
0.36058,35.75512
0.370588,34.702944
0.380595,33.754108
0.390603,32.889824
0.400611,32.072512
0.410619,31.32096
0.420626,30.653954
0.430634,30.02453
0.440642,29.451472
0.45065,28.934778
0.460658,28.465058
0.470665,28.032914
0.480673,27.657138
0.490681,27.300152
0.500689,26.99953
0.510696,26.717698
0.520704,26.46405
0.530712,26.247978
0.54072,26.06009
0.550728,25.872202
0.560735,25.759468
0.570743,25.65613
0.580751,25.580974
0.590759,25.534002
0.600766,25.524608
0.610774,25.543398
0.620782,25.57158
0.63079,25.65613
0.640798,25.759468
0.650805,25.90978
0.660813,26.088274
0.670821,26.323132
0.680829,26.61436
0.690837,26.952558
0.700844,27.356518
0.690837,22.123832
0.680829,19.502792
0.670821,17.70846
0.660813,16.2993
0.650805,15.162575
0.640798,14.194951
0.63079,13.368243
0.620782,12.644874
0.610774,12.015448
0.600766,11.432995
0.590759,10.925697
0.580751,10.462553
0.570743,10.033229
0.560735,9.648058
0.550728,9.276978
0.54072,8.961326
0.530712,8.625006
0.520704,8.33378
0.510696,8.054766
0.500689,7.786086
0.490681,7.540892
0.480673,7.300395
0.470665,7.068353
0.460658,6.853221
0.45065,6.649362
0.440642,6.443625
0.430634,6.248221
0.420626,6.061272
0.410619,5.875263
0.400611,5.701466
0.390603,5.524851
0.380595,5.343539
0.370588,5.172561
0.36058,4.994067
0.350572,4.8043
0.340564,4.607018
0.330556,4.387189
0.320549,4.130721
0.310541,3.841373
0.300533,3.491901
0.290525,3.049425
0.280518,2.503609
0.27051,1.789634
0.260502,0.841739
0.250494,-0.441537
0.240486,-2.20111
0.230479,-4.550651
0.220471,-7.618865
0.210463,-11.499696
0.200455,-16.210991
0.190448,-21.711418
0.18034,-27.865696
0.170432,-34.364748
0.160424,-41.203876
0.150416,-47.873908
0.140409,-54.1024
0.13040136,-59.504184
0.120393584,-63.684696
0.110385808,-66.249368
0.100378032,-66.869404
0.090370248,-65.582368
0.080362472,-62.717072
0.070354688,-58.978096
0.060346908,-55.060628
0.050339128,-51.4156
0.040331348,-48.212104
0.03032357,-45.459544
0.020315792,-43.120336
0.010308012,-41.109932
0.000300233,-39.371964
-0.009707546,-37.887648
-0.019715326,-36.581824
-0.029723104,-35.435708
-0.039730884,-34.430508
-0.049738664,-33.556828
-0.05974644,-32.758304
-0.069754224,-32.044328
-0.079762,-31.36793
-0.089769784,-30.757294
-0.09977756,-30.221812
-0.109785344,-29.72391
-0.11979312,-29.272978
-0.129800904,-28.887808
-0.139808,-28.540212
-0.149816,-28.202016
-0.159824,-27.87321
-0.169832,-27.600772
-0.179839,-27.281364
-0.189847,-26.971348
-0.199855,-26.708304
-0.209863,-26.482838
-0.21987,-26.294948
-0.229878,-26.182218
-0.239886,-26.154034
-0.249894,-26.135246
-0.259902,-26.229188
-0.269909,-26.454654
-0.279917,-26.83043
-0.289925,-27.356518
-0.299933,-28.089282
-0.30994,-29.103878
-0.319948,-30.419096
-0.329956,-32.128878
-0.339964,-34.298988
-0.349972,-37.042152
-0.359979,-40.42414
-0.369987,-44.5201
-0.379995,-49.386408
-0.390003,-55.070024
