Voltage(V),Current(uA)
-0.40001,-36.074528
-0.390003,-31.273986
-0.379995,-27.16863
-0.369987,-23.561178
-0.359979,-20.423444
-0.349972,-17.72725
-0.339964,-15.416224
-0.329956,-13.480976
-0.319948,-11.82756
-0.30994,-10.474765
-0.299933,-9.366225
-0.289925,-8.448392
-0.279917,-7.700597
-0.269909,-7.083384
-0.259902,-6.577025
-0.249894,-6.14864
-0.239886,-5.801987
-0.229878,-5.518275
-0.21987,-5.264626
-0.209863,-5.053252
-0.199855,-4.880395
-0.189847,-4.732903
-0.179839,-4.597624
-0.169832,-4.483011
-0.159824,-4.383431
-0.149816,-4.297002
-0.139808,-4.208695
-0.129800904,-4.124145
-0.11979312,-4.045232
-0.109785344,-3.962561
-0.09977756,-3.874254
-0.089769784,-3.793462
-0.079762,-3.710791
-0.069754224,-3.622484
-0.05974644,-3.535115
-0.049738664,-3.442111
-0.039730884,-3.340651
-0.029723104,-3.228858
-0.019715326,-3.106731
-0.009707546,-2.962996
0.000300233,-2.78826
0.010308012,-2.57031
0.020315792,-2.28378
0.03032357,-1.17618
0.040331348,-1.10854
0.050339128,-0.681094
0.060346908,0.167784
0.070354688,1.353828
0.080362472,2.86257
0.090370248,4.903881
0.100378032,7.336094
0.110385808,10.171326
0.120393584,13.340999
0.13040136,16.695743
0.140409,20.056124
0.150416,23.213584
0.160424,25.928568
0.170432,27.985944
0.18044,29.207216
0.190448,29.526626
0.200455,29.038118
0.210463,27.967154
0.220471,26.567388
0.230479,25.10186
0.240486,23.692698
0.250494,22.424452
0.260502,21.278336
0.27051,20.254344
0.280518,19.352482
0.290525,18.563352
0.300533,17.839982
0.310541,17.172978
0.320549,16.552949
0.330556,15.979889
0.340564,15.472591
0.350572,15.021659
0.36058,14.6177
0.370588,14.251318
0.380595,13.922514
0.390603,13.631286
0.400611,13.358849
0.410619,13.114594
0.420626,12.898523
0.430634,12.70124
0.440642,12.522746
0.45065,12.363042
0.460658,12.222126
0.470665,12.090604
0.480673,11.977871
0.490681,11.87829
0.500689,11.792801
0.510696,11.723282
0.520704,11.6594
0.530712,11.619004
0.54072,11.580487
0.550728,11.560759
0.560735,11.553243
0.570743,11.557941
0.580751,11.57673
0.590759,11.602095
0.600766,11.650946
0.610774,11.708251
0.620782,11.776831
0.63079,11.873593
0.640798,11.987265
0.650805,12.125364
0.660813,12.277553
0.670821,12.459804
0.680829,12.675875
0.690837,12.917311
0.700844,13.20572
0.690837,10.80263
0.680829,9.468624
0.670821,8.512274
0.660813,7.742871
0.650805,7.113446
0.640798,6.579843
0.63079,6.11482
0.620782,5.714618
0.610774,5.355752
0.600766,5.041979
0.590759,4.759207
0.580751,4.501801
0.570743,4.269758
0.560735,4.067779
0.550728,3.862981
0.54072,3.686366
0.530712,3.524782
0.520704,3.369774
0.510696,3.2251
0.500689,3.094518
0.490681,2.970512
0.480673,2.852142
0.470665,2.743167
0.460658,2.644526
0.45065,2.539308
0.440642,2.450061
0.430634,2.357057
0.420626,2.276265
0.410619,2.195473
0.400611,2.110923
0.390603,2.038586
0.380595,1.960613
0.370588,1.890155
0.36058,1.815939
0.350572,1.74736
0.340564,1.673144
0.330556,1.591412
0.320549,1.506863
0.310541,1.411979
0.300533,1.299246
0.290525,1.178058
0.280518,1.021172
0.27051,0.844557
0.260502,0.61693
0.250494,0.333501
0.240486,-0.052984468
0.230479,-0.562631
0.220471,-1.294267
0.210463,-2.289887
0.200455,-3.055907
0.190448,-5.356691
0.18044,-7.535255
0.170432,-10.161932
0.160424,-13.166264
0.150416,-16.436457
0.140409,-19.82596
0.13040136,-23.106486
0.120393584,-26.05915
0.110385808,-28.49324
0.100378032,-30.127868
0.090370248,-30.879422
0.080362472,-30.747898
0.070354688,-29.893008
0.060346908,-28.587184
0.050339128,-27.112262
0.040331348,-25.618552
0.03032357,-24.24697
0.020315792,-23.03509
0.010308012,-21.945338
0.000300233,-20.996502
-0.009707546,-20.169796
-0.019715326,-19.43703
-0.029723104,-18.817
-0.039730884,-18.253336
-0.049738664,-17.764826
-0.05974644,-17.323288
-0.069754224,-16.928724
-0.079762,-16.571737
-0.089769784,-16.252326
-0.09977756,-15.961101
-0.109785344,-15.707452
-0.11979312,-15.500774
-0.129800904,-15.359857
-0.139808,-15.265914
-0.149816,-15.124998
-0.159824,-14.871349
-0.169832,-14.636489
-0.179839,-14.429812
-0.189847,-14.29829
-0.199855,-14.138585
-0.209863,-14.007063
-0.21987,-13.922514
-0.229878,-13.856753
-0.239886,-13.80978
-0.249894,-13.828569
-0.259902,-13.922514
-0.269909,-14.025852
-0.279917,-14.223135
-0.289925,-14.523755
-0.299933,-14.955899
-0.30994,-15.557141
-0.319948,-16.36506
-0.329956,-17.398444
-0.339964,-18.760634
-0.349972,-20.461022
-0.359979,-22.602946
-0.369987,-25.177014
-0.379995,-28.324142
-0.390003,-31.950384
