Voltage(V),Current(uA)
-0.40001,-38.545256
-0.390003,-33.087108
-0.379995,-28.793862
-0.369987,-25.083072
-0.359979,-21.870184
-0.349972,-19.07065
-0.339964,-16.665681
-0.329956,-14.580122
-0.319948,-12.823368
-0.30994,-11.320263
-0.299933,-10.0802
-0.289925,-9.018632
-0.279917,-8.144952
-0.269909,-7.414067
-0.259902,-6.798733
-0.249894,-6.282041
-0.239886,-5.83017
-0.229878,-5.439362
-0.21987,-5.098345
-0.209863,-4.78739
-0.199855,-4.51871
-0.189847,-4.275395
-0.179839,-4.058384
-0.169832,-3.875193
-0.159824,-3.717367
-0.149816,-3.581148
-0.139808,-3.458082
-0.129800904,-3.341591
-0.11979312,-3.238252
-0.109785344,-3.126459
-0.09977756,-3.021241
-0.089769784,-2.90663
-0.079762,-2.795776
-0.069754224,-2.683043
-0.05974644,-2.572189
-0.049738664,-2.476366
-0.039730884,-2.370209
-0.029723104,-2.252779
-0.019715326,-2.128773
-0.009707546,-1.978462
0.000300233,-1.785877
0.010308012,-1.52847
0.020315792,-1.195908
0.03032357,-0.744037
0.040331348,-0.133400608
0.050339128,0.709371
0.060346908,1.840834
0.070354688,3.019081
0.080362472,5.323811
0.090370248,7.814269
0.100378032,10.844905
0.110385808,14.374384
0.120393584,18.322854
0.13040136,22.567248
0.140409,26.911222
0.150416,31.123676
0.160424,35.041144
0.170432,38.347976
0.18044,40.771732
0.190448,42.133924
0.200455,42.293628
0.210463,41.326004
0.220471,39.559856
0.230479,37.417932
0.240486,35.21964
0.250494,33.190444
0.260502,31.377326
0.27051,29.817852
0.280518,28.465058
0.290525,27.300152
0.300533,26.304344
0.310541,25.411876
0.320549,24.603956
0.330556,23.833614
0.340564,23.100852
0.350572,22.462032
0.36058,21.888972
0.370588,21.362886
0.380595,20.90256
0.390603,20.470416
0.400611,20.07585
0.410619,19.718862
0.420626,19.399454
0.430634,19.108226
0.440642,18.83579
0.45065,18.600928
0.460658,18.375464
0.470665,18.17818
0.480673,18.00908
0.490681,17.85877
0.500689,17.717854
0.510696,17.605122
0.520704,17.501782
0.530712,17.426628
0.54072,17.351472
0.550728,17.313896
0.560735,17.285712
0.570743,17.276318
0.580751,17.276318
0.590759,17.3045
0.600766,17.351472
0.610774,17.40784
0.620782,17.4736
0.63079,17.576938
0.640798,17.699066
0.650805,17.839982
0.660813,18.018476
0.670821,18.215758
0.680829,18.450618
0.690837,18.713662
0.700844,19.033072
0.690837,15.08742
0.680829,13.039439
0.670821,11.602095
0.660813,10.474765
0.650805,9.582297
0.640798,8.818531
0.63079,8.144013
0.620782,7.561559
0.610774,7.049564
0.600766,6.580783
0.590759,6.16555
0.580751,5.786956
0.570743,5.44312
0.560735,5.128407
0.550728,4.83906
0.54072,4.571319
0.530712,4.320488
0.520704,4.087507
0.510696,3.874254
0.500689,3.674153
0.490681,3.480628
0.480673,3.304013
0.470665,3.130217
0.460658,2.97333
0.45065,2.823019
0.440642,2.672709
0.430634,2.545884
0.420626,2.407786
0.410619,2.281902
0.400611,2.157895
0.390603,2.039526
0.380595,1.919277
0.370588,1.806544
0.36058,1.69569
0.350572,1.583897
0.340564,1.470224
0.330556,1.348097
0.320549,1.213757
0.310541,1.067204
0.300533,0.901863
0.290525,0.686919
0.280518,0.47019
0.27051,0.201134
0.260502,-0.138097
0.250494,-0.578319
0.240486,-1.164155
0.230479,-1.962585
0.220471,-2.91189
0.210463,-4.48489
0.200455,-6.388198
0.190448,-8.799743
0.18044,-11.75992
0.170432,-15.229276
0.160424,-19.13641
0.150416,-23.339468
0.140409,-27.68626
0.13040136,-31.997354
0.120393584,-35.961796
0.110385808,-39.362572
0.100378032,-41.927244
0.090370248,-43.420956
0.080362472,-43.684
0.070354688,-42.819716
0.060346908,-41.081752
0.050339128,-38.892852
0.040331348,-36.600616
0.03032357,-34.449296
0.020315792,-32.56102
0.010308012,-30.907606
0.000300233,-29.460864
-0.009707546,-28.230196
-0.019715326,-27.16863
-0.029723104,-26.257372
-0.039730884,-25.468242
-0.049738664,-24.773056
-0.05974644,-24.162418
-0.069754224,-23.636332
-0.079762,-23.157218
-0.089769784,-22.734468
-0.09977756,-22.339904
-0.109785344,-21.964126
-0.11979312,-21.644718
-0.129800904,-21.344096
-0.139808,-21.090448
-0.149816,-20.855588
-0.159824,-20.639516
-0.169832,-20.451628
-0.179839,-20.273134
-0.189847,-20.104034
-0.199855,-19.94433
-0.209863,-19.794018
-0.21987,-19.653102
-0.229878,-19.530976
-0.239886,-19.446426
-0.249894,-19.399454
-0.259902,-19.408848
-0.269909,-19.465214
-0.279917,-19.596736
-0.289925,-19.803414
-0.299933,-20.141612
-0.30994,-20.601938
-0.319948,-21.250152
-0.329956,-22.114438
-0.339964,-23.232374
-0.349972,-24.660324
-0.359979,-26.46405
-0.369987,-28.699918
-0.379995,-31.443086
-0.390003,-34.740524
