Voltage(V),Current(uA)
-0.40001,-28.345748
-0.390003,-23.805432
-0.379995,-19.869176
-0.369987,-16.552949
-0.359979,-13.772203
-0.349972,-11.470573
-0.339964,-9.591691
-0.329956,-8.09798
-0.319948,-6.893617
-0.30994,-5.968267
-0.299933,-5.251474
-0.289925,-4.700022
-0.279917,-4.275395
-0.269909,-3.948469
-0.259902,-3.699518
-0.249894,-3.509751
-0.239886,-3.362259
-0.229878,-3.244828
-0.21987,-3.146187
-0.209863,-3.066335
-0.199855,-2.994937
-0.189847,-2.928237
-0.179839,-2.866234
-0.169832,-2.808928
-0.159824,-2.75444
-0.149816,-2.699953
-0.139808,-2.649223
-0.129800904,-2.595675
-0.11979312,-2.544945
-0.109785344,-2.490457
-0.09977756,-2.437849
-0.089769784,-2.378664
-0.079762,-2.319479
-0.069754224,-2.257476
-0.05974644,-2.194533
-0.049738664,-2.128773
-0.039730884,-2.061133
-0.029723104,-1.993493
-0.019715326,-1.929611
-0.009707546,-1.854456
0.000300233,-1.76333
0.010308012,-1.650597
0.020315792,-1.496529
0.03032357,-1.299246
0.040331348,-1.021172
0.050339128,-0.645395
0.060346908,-0.13058228
0.070354688,0.545157
0.080362472,1.452563
0.090370248,2.594735
0.100378032,3.974774
0.110385808,5.486334
0.120393584,7.031715
0.13040136,8.457786
0.140409,9.609541
0.150416,10.378943
0.160424,10.730293
0.170432,10.731233
0.18044,10.466311
0.190448,10.036986
0.200455,9.530627
0.210463,9.006419
0.220471,8.50194
0.230479,8.033159
0.240486,7.604774
0.250494,7.238392
0.260502,6.903011
0.27051,6.595814
0.280518,6.324316
0.290525,6.086637
0.300533,5.874323
0.310541,5.686435
0.320549,5.521094
0.330556,5.374541
0.340564,5.243959
0.350572,5.127468
0.36058,5.026948
0.370588,4.93864
0.380595,4.859727
0.390603,4.78833
0.400611,4.727266
0.410619,4.66996
0.420626,4.625807
0.430634,4.584471
0.440642,4.548772
0.45065,4.522468
0.460658,4.498043
0.470665,4.48489
0.480673,4.476436
0.490681,4.473617
0.500689,4.475496
0.510696,4.48489
0.520704,4.505558
0.530712,4.530923
0.54072,4.561925
0.550728,4.594805
0.560735,4.629564
0.570743,4.667142
0.580751,4.715993
0.590759,4.777056
0.600766,4.850333
0.610774,4.928307
0.620782,5.020372
0.63079,5.127468
0.640798,5.252414
0.650805,5.39239
0.660813,5.554913
0.670821,5.733407
0.680829,5.943842
0.690837,6.179642
0.700844,6.453958
0.690837,5.334145
0.680829,4.58635
0.670821,4.012351
0.660813,3.549207
0.650805,3.164976
0.640798,2.835232
0.63079,2.557158
0.620782,2.313843
0.610774,2.104347
0.600766,1.917398
0.590759,1.750178
0.580751,1.602686
0.570743,1.473043
0.560735,1.358431
0.550728,1.249456
0.54072,1.147057
0.530712,1.05781
0.520704,0.982655
0.510696,0.905151
0.500689,0.84559
0.490681,0.792512
0.480673,0.741406
0.470665,0.69218
0.460658,0.646147
0.45065,0.607348
0.440642,0.571837
0.430634,0.538581
0.420626,0.506264
0.410619,0.475544
0.400611,0.450743
0.390603,0.424815
0.380595,0.401517
0.370588,0.37944
0.36058,0.357645
0.350572,0.338574
0.340564,0.319128
0.330556,0.299963
0.320549,0.280892
0.310541,0.260506
0.300533,0.237396
0.290525,0.211749
0.280518,0.178963
0.27051,0.140728
0.260502,0.091313656
0.250494,0.029404502
0.240486,-0.052702636
0.230479,-0.168535
0.220471,-0.331246
0.210463,-0.560094
0.200455,-0.884671
0.190448,-1.335227
0.18044,-1.957043
0.170432,-2.788354
0.160424,-3.835737
0.150416,-5.128407
0.140409,-6.609906
0.13040136,-8.169377
0.120393584,-9.66121
0.110385808,-10.919121
0.100378032,-11.816287
0.090370248,-12.31701
0.080362472,-12.424105
0.070354688,-12.239975
0.060346908,-11.855744
0.050339128,-11.372871
0.040331348,-10.85242
0.03032357,-10.339486
0.020315792,-9.860371
0.010308012,-9.420713
0.000300233,-9.02239
-0.009707546,-8.667281
-0.019715326,-8.351629
-0.029723104,-8.074494
-0.039730884,-7.825542
-0.049738664,-7.607592
-0.05974644,-7.414067
-0.069754224,-7.239331
-0.079762,-7.082445
-0.089769784,-6.935892
-0.09977756,-6.80343
-0.109785344,-6.68694
-0.11979312,-6.577965
-0.129800904,-6.477445
-0.139808,-6.38444
-0.149816,-6.288617
-0.159824,-6.208765
-0.169832,-6.134548
-0.179839,-6.071606
-0.189847,-6.018058
-0.199855,-5.975783
-0.209863,-5.940084
-0.21987,-5.924114
-0.229878,-5.927872
-0.239886,-5.958873
-0.249894,-6.018058
-0.259902,-6.116699
-0.269909,-6.269828
-0.279917,-6.499991
-0.289925,-6.82128
-0.299933,-7.260938
-0.30994,-7.867817
-0.319948,-8.696404
-0.329956,-9.775822
-0.339964,-11.151163
-0.349972,-12.844975
-0.359979,-14.913624
-0.369987,-17.396566
-0.379995,-20.358624
-0.390003,-23.843948
-0.40001,-27.887302
