Voltage(V),Current(uA)
-0.40001,-56.140988
-0.390003,-48.982444
-0.379995,-42.594248
-0.369987,-36.826084
-0.359979,-31.734314
-0.349972,-27.300152
-0.339964,-23.476628
-0.329956,-20.216768
-0.319948,-17.49239
-0.30994,-15.228336
-0.299933,-13.349455
-0.289925,-11.836955
-0.279917,-10.606287
-0.269909,-9.619874
-0.259902,-8.817592
-0.249894,-8.173135
-0.239886,-7.649867
-0.229878,-7.215845
-0.21987,-6.870131
-0.209863,-6.581722
-0.199855,-6.354378
-0.189847,-6.156156
-0.179839,-6.001148
-0.169832,-5.856474
-0.159824,-5.723074
-0.149816,-5.606583
-0.139808,-5.49291
-0.129800904,-5.387693
-0.11979312,-5.277779
-0.109785344,-5.168803
-0.09977756,-5.063586
-0.089769784,-4.947095
-0.079762,-4.834362
-0.069754224,-4.716932
-0.05974644,-4.594805
-0.049738664,-4.471738
-0.039730884,-4.329883
-0.029723104,-4.184269
-0.019715326,-4.018927
-0.009707546,-3.841373
0.000300233,-3.652546
0.010308012,-3.42708
0.020315792,-3.177189
0.03032357,-2.799533
0.040331348,-2.414363
0.050339128,-1.925853
0.060346908,-1.220333
0.070354688,-0.253649
0.080362472,1.047476
0.090370248,2.769659
0.100378032,5.061707
0.110385808,7.937335
0.120393584,11.47621
0.13040136,15.586263
0.140409,20.14537
0.150416,24.91679
0.160424,29.592388
0.170432,33.932604
0.18034,37.417932
0.190448,39.991996
0.200455,41.279032
0.210463,41.279032
0.220471,40.179884
0.230479,38.423132
0.240486,36.403332
0.250494,34.345956
0.260502,32.438892
0.27051,30.700928
0.280518,29.160244
0.290525,27.798054
0.300533,26.557992
0.310541,25.449454
0.320549,24.425462
0.330556,23.495416
0.340564,22.659314
0.350572,21.888972
0.36058,21.193786
0.370588,20.56436
0.380595,20.01009
0.390603,19.502792
0.400611,19.051862
0.410619,18.6479
0.420626,18.272124
0.430634,17.94332
0.440642,17.6427
0.45065,17.370262
0.460658,17.116612
0.470665,16.900542
0.480673,16.693864
0.490681,16.51537
0.500689,16.355665
0.510696,16.224145
0.520704,16.102016
0.530712,15.989284
0.54072,15.904734
0.550728,15.829579
0.560735,15.782607
0.570743,15.754423
0.580751,15.735635
0.590759,15.745028
0.600766,15.773212
0.610774,15.820183
0.620782,15.87655
0.63079,15.979889
0.640798,16.102016
0.650805,16.242933
0.660813,16.421427
0.670821,16.637497
0.680829,16.900542
0.690837,17.210556
0.700844,17.567544
0.690837,14.814983
0.680829,13.293088
0.670821,12.184548
0.660813,11.301473
0.650805,10.56871
0.640798,9.969347
0.63079,9.436684
0.620782,8.965085
0.610774,8.553609
0.600766,8.18159
0.590759,7.850907
0.580751,7.549346
0.570743,7.27503
0.560735,7.020441
0.550728,6.7884
0.54072,6.578904
0.530712,6.374106
0.520704,6.187157
0.510696,6.009603
0.500689,5.839564
0.490681,5.688314
0.480673,5.536125
0.470665,5.396148
0.460658,5.266505
0.45065,5.127468
0.440642,5.004401
0.430634,4.886032
0.420626,4.768602
0.410619,4.65399
0.400611,4.546893
0.390603,4.436979
0.380595,4.332701
0.370588,4.224665
0.36058,4.120387
0.350572,4.010473
0.340564,3.893982
0.330556,3.764339
0.320549,3.616847
0.310541,3.452445
0.300533,3.255162
0.290525,3.013726
0.280518,2.72062
0.27051,2.341086
0.260502,1.835667
0.250494,1.140481
0.240486,0.181312
0.230479,-1.135784
0.220471,-2.841902
0.210463,-5.294688
0.200455,-8.309354
0.190448,-11.97881
0.18034,-16.214749
0.170432,-20.742854
0.160424,-25.546214
0.150416,-30.165446
0.140409,-34.280196
0.13040136,-37.558844
0.120393584,-39.691376
0.110385808,-40.536872
0.100378032,-40.08594
0.090370248,-38.714356
0.080362472,-36.779108
0.070354688,-34.665368
0.060346908,-32.636176
0.050339128,-30.757294
0.040331348,-29.113272
0.03032357,-27.647744
0.020315792,-26.370104
0.010308012,-25.242776
0.000300233,-24.256362
-0.009707546,-23.392076
-0.019715326,-22.621736
-0.029723104,-21.935944
-0.039730884,-21.325306
-0.049738664,-20.789826
-0.05974644,-20.282528
-0.069754224,-19.840992
-0.079762,-19.43703
-0.089769784,-19.061254
-0.09977756,-18.713662
-0.109785344,-18.403646
-0.11979312,-18.121814
-0.129800904,-17.868166
-0.139808,-17.623912
-0.149816,-17.379656
-0.159824,-17.135402
-0.169832,-16.928724
-0.179839,-16.740836
-0.189847,-16.562342
-0.199855,-16.43082
-0.209863,-16.318088
-0.21987,-16.252326
-0.229878,-16.224145
-0.239886,-16.252326
-0.249894,-16.374455
-0.259902,-16.58113
-0.269909,-16.91933
-0.279917,-17.417234
-0.289925,-18.09363
-0.299933,-19.023678
-0.30994,-20.207372
-0.319948,-21.795028
-0.329956,-23.82422
-0.339964,-26.407682
-0.349972,-29.545416
-0.359979,-33.368938
-0.369987,-37.897044
-0.379995,-43.157912
-0.390003,-49.16094
