Voltage(V),Current(uA)
-0.40001,-48.28726
-0.390003,-41.551468
-0.379995,-35.4545
-0.369987,-30.043318
-0.359979,-25.299142
-0.349972,-21.231364
-0.339964,-17.764826
-0.329956,-14.861955
-0.319948,-12.485169
-0.30994,-10.549921
-0.299933,-9.046815
-0.289925,-7.806753
-0.279917,-6.82128
-0.269909,-6.050938
-0.259902,-5.451575
-0.249894,-4.979036
-0.239886,-4.608897
-0.229878,-4.325185
-0.21987,-4.096901
-0.209863,-3.918407
-0.199855,-3.767158
-0.189847,-3.636575
-0.179839,-3.520084
-0.169832,-3.424261
-0.159824,-3.332196
-0.149816,-3.244828
-0.139808,-3.1584
-0.129800904,-3.072911
-0.11979312,-2.991179
-0.109785344,-2.901932
-0.09977756,-2.814565
-0.089769784,-2.730015
-0.079762,-2.640768
-0.069754224,-2.541187
-0.05974644,-2.442546
-0.049738664,-2.328873
-0.039730884,-2.214262
-0.029723104,-2.088377
-0.019715326,-1.954037
-0.009707546,-1.805605
0.000300233,-1.647779
0.010308012,-1.42795
0.020315792,-1.134844
0.03032357,-0.277135
0.040331348,-0.40208
0.050339128,0.08999844
0.060346908,0.763859
0.070354688,1.655106
0.080362472,2.808928
0.090370248,4.294184
0.100378032,6.140185
0.110385808,8.330961
0.120393584,10.588438
0.13040136,13.144657
0.140409,15.460378
0.150416,17.650216
0.160424,19.350604
0.170432,20.393382
0.18044,20.710912
0.190448,20.435658
0.200455,19.719804
0.210463,18.817
0.220471,17.815556
0.230479,16.766202
0.240486,15.858701
0.250494,14.987839
0.260502,14.233468
0.27051,13.573981
0.280518,12.956768
0.290525,12.424105
0.300533,11.930899
0.310541,11.484665
0.320549,11.099494
0.330556,10.768811
0.340564,10.476644
0.350572,10.217359
0.36058,9.991893
0.370588,9.792732
0.380595,9.616116
0.390603,9.46017
0.400611,9.322072
0.410619,9.204642
0.420626,9.105061
0.430634,9.017692
0.440642,8.941598
0.45065,8.880534
0.460658,8.829804
0.470665,8.794106
0.480673,8.768741
0.490681,8.75371
0.500689,8.755589
0.510696,8.759347
0.520704,8.778135
0.530712,8.808198
0.54072,8.85423
0.550728,8.907778
0.560735,8.970721
0.570743,9.046815
0.580751,9.137941
0.590759,9.24034
0.600766,9.361528
0.610774,9.499626
0.620782,9.645239
0.63079,9.819975
0.640798,10.008803
0.650805,10.223935
0.660813,10.475705
0.670821,10.748143
0.680829,11.057219
0.690837,11.40857
0.700844,11.807833
0.690837,9.539083
0.680829,8.180651
0.670821,7.172631
0.660813,6.359075
0.650805,5.69583
0.640798,5.130286
0.63079,4.650232
0.620782,4.231241
0.610774,3.865799
0.600766,3.552025
0.590759,3.263617
0.580751,3.014665
0.570743,2.784502
0.560735,2.585341
0.550728,2.399332
0.54072,2.23399
0.530712,2.080861
0.520704,1.941824
0.510696,1.818757
0.500689,1.703206
0.490681,1.59517
0.480673,1.499347
0.470665,1.408221
0.460658,1.321793
0.45065,1.243819
0.440642,1.167725
0.430634,1.101024
0.420626,1.035263
0.410619,0.989043
0.400611,0.93277
0.390603,0.877062
0.380595,0.825956
0.370588,0.77485
0.36058,0.727315
0.350572,0.679779
0.340564,0.632807
0.330556,0.584144
0.320549,0.531347
0.310541,0.468687
0.300533,0.402268
0.290525,0.31584
0.280518,0.22058
0.27051,0.104747664
0.260502,-0.036356364
0.250494,-0.219641
0.240486,-0.46972
0.230479,-0.81891
0.220471,-1.305165
0.210463,-1.983817
0.200455,-2.885398
0.190448,-4.174875
0.18044,-5.797289
0.170432,-7.783267
0.160424,-10.112142
0.150416,-12.646753
0.140409,-15.225518
0.13040136,-17.606062
0.120393584,-19.57231
0.110385808,-20.927924
0.100378032,-21.57238
0.090370248,-21.544196
0.080362472,-21.00214
0.070354688,-20.149128
0.060346908,-19.173048
0.050339128,-18.187574
0.040331348,-17.263166
0.03032357,-16.419548
0.020315792,-15.662359
0.010308012,-15.000992
0.000300233,-14.41666
-0.009707546,-13.901846
-0.019715326,-13.449975
-0.029723104,-13.056349
-0.039730884,-12.714392
-0.049738664,-12.410953
-0.05974644,-12.143212
-0.069754224,-11.900837
-0.079762,-11.684765
-0.089769784,-11.488423
-0.09977756,-11.317444
-0.109785344,-11.164315
-0.11979312,-11.051582
-0.129800904,-10.962336
-0.139808,-10.899393
-0.149816,-10.844905
-0.159824,-10.60159
-0.169832,-10.515162
-0.179839,-10.49848675
-0.189847,-10.455038
-0.199855,-10.422157
-0.209863,-10.369548
-0.21987,-10.365791
-0.229878,-10.39961
-0.239886,-10.440946
-0.249894,-10.594075
-0.259902,-10.822359
-0.269909,-11.159618
-0.279917,-11.661279
-0.289925,-12.310433
-0.299933,-13.191629
-0.30994,-14.333049
-0.319948,-15.923522
-0.329956,-17.847498
-0.339964,-20.32856
-0.349972,-23.365772
-0.359979,-26.992014
-0.369987,-31.23641
-0.379995,-36.159076
-0.390003,-41.814512
