Voltage(V),Current(uA)
-0.40001,-48.28726
-0.390003,-41.542076
-0.379995,-35.463892
-0.369987,-30.052714
-0.359979,-25.317932
-0.349972,-21.268942
-0.339964,-17.802406
-0.329956,-14.908926
-0.319948,-12.55093
-0.30994,-10.615682
-0.299933,-9.112576
-0.289925,-7.891303
-0.279917,-6.912405
-0.269909,-6.145822
-0.259902,-5.550216
-0.249894,-5.076738
-0.239886,-4.711296
-0.229878,-4.426645
-0.21987,-4.1993
-0.209863,-4.026443
-0.199855,-3.881769
-0.189847,-3.752126
-0.179839,-3.625302
-0.169832,-3.532297
-0.159824,-3.441171
-0.149816,-3.354743
-0.139808,-3.266436
-0.129800904,-3.178128
-0.11979312,-3.097336
-0.109785344,-3.013726
-0.09977756,-2.921661
-0.089769784,-2.83899
-0.079762,-2.748804
-0.069754224,-2.652041
-0.05974644,-2.550581
-0.049738664,-2.439727
-0.039730884,-2.328873
-0.029723104,-2.210504
-0.019715326,-2.079922
-0.009707546,-1.935248
0.000300233,-1.771785
0.010308012,-1.580139
0.020315792,-1.357492
0.03032357,-0.624728
0.040331348,-0.686731
0.050339128,-0.252709
0.060346908,0.381412
0.070354688,1.217891
0.080362472,2.324834
0.090370248,3.044915
0.100378032,5.537064
0.110385808,7.696839
0.120393584,10.137507
0.13040136,12.727544
0.140409,15.25652
0.150416,17.498026
0.160424,19.231294
0.170432,20.308832
0.18044,20.66582
0.190448,20.401836
0.200455,19.703832
0.210463,18.76721
0.220471,17.754492
0.230479,16.763382
0.240486,15.823003
0.250494,14.966233
0.260502,14.200588
0.27051,13.522312
0.280518,12.92013
0.290525,12.371496
0.300533,11.881109
0.310541,11.432056
0.320549,11.043128
0.330556,10.70305
0.340564,10.408065
0.350572,10.152537
0.36058,9.920496
0.370588,9.722273
0.380595,9.539083
0.390603,9.386893
0.400611,9.245977
0.410619,9.127608
0.420626,9.02145
0.430634,8.934083
0.440642,8.856109
0.45065,8.794106
0.460658,8.746195
0.470665,8.705799
0.480673,8.677615
0.490681,8.661644
0.500689,8.657887
0.510696,8.662584
0.520704,8.678555
0.530712,8.708617
0.54072,8.747134
0.550728,8.795045
0.560735,8.861746
0.570743,8.934083
0.580751,9.020511
0.590759,9.124789
0.600766,9.233764
0.610774,9.364346
0.620782,9.515596
0.63079,9.680938
0.640798,9.870706
0.650805,10.087716
0.660813,10.328213
0.670821,10.596893
0.680829,10.901272
0.690837,11.250744
0.700844,11.64343
0.690837,9.390651
0.680829,8.051947
0.670821,7.050504
0.660813,6.24916
0.650805,5.590612
0.640798,5.030706
0.63079,4.553469
0.620782,4.139176
0.610774,3.78031
0.600766,3.462779
0.590759,3.177189
0.580751,2.927297
0.570743,2.70371
0.560735,2.506428
0.550728,2.320419
0.54072,2.151319
0.530712,2.001948
0.520704,1.865729
0.510696,1.742662
0.500689,1.625232
0.490681,1.519075
0.480673,1.424192
0.470665,1.330248
0.460658,1.24288
0.45065,1.173361
0.440642,1.087872
0.430634,1.022111
0.420626,0.974763
0.410619,0.913042
0.400611,0.855548
0.390603,0.798524
0.380595,0.744976
0.370588,0.695937
0.36058,0.645207
0.350572,0.598235
0.340564,0.549009
0.330556,0.498373
0.320549,0.444919
0.310541,0.383291
0.300533,0.318846
0.290525,0.230538
0.280518,0.132649056
0.27051,0.015500775
0.260502,-0.12917312
0.250494,-0.315652
0.240486,-0.572965
0.230479,-0.931361
0.220471,-1.428607
0.210463,-2.125485
0.200455,-2.983664
0.190448,-4.376855
0.18044,-6.029331
0.170432,-8.057584
0.160424,-10.416521
0.150416,-12.974618
0.140409,-15.550564
0.13040136,-17.919834
0.120393584,-19.852264
0.110385808,-21.156208
0.100378032,-21.736782
0.090370248,-21.662568
0.080362472,-21.080112
0.070354688,-20.200796
0.060346908,-19.219082
0.050339128,-18.235486
0.040331348,-17.30638
0.03032357,-16.463702
0.020315792,-15.722482
0.010308012,-15.059237
0.000300233,-14.480542
-0.009707546,-13.964788
-0.019715326,-13.523251
-0.029723104,-13.129626
-0.039730884,-12.789547
-0.049738664,-12.481412
-0.05974644,-12.218368
-0.069754224,-11.97881
-0.079762,-11.764618
-0.089769784,-11.571093
-0.09977756,-11.401054
-0.109785344,-11.253562
-0.11979312,-11.13895
-0.129800904,-11.037491
-0.139808,-11.042188
-0.149816,-10.894695
-0.159824,-10.755658
-0.169832,-10.648562
-0.179839,-11.722813
-0.189847,-12.483291
-0.199855,-13.003741
-0.209863,-10.804509
-0.21987,-10.455038
-0.229878,-10.456917
-0.239886,-10.561194
-0.249894,-10.694595
-0.259902,-10.921939
-0.269909,-12.346132
-0.279917,-11.798438
-0.289925,-12.403438
-0.299933,-13.317514
-0.30994,-14.423235
-0.319948,-15.956404
-0.329956,-17.938624
-0.339964,-20.44505
-0.349972,-23.515144
-0.359979,-27.10005
-0.369987,-31.36793
-0.379995,-36.318784
-0.390003,-41.964824
