Voltage(V),Current(uA)
-0.40001,-52.890524
-0.390003,-45.62864
-0.379995,-39.3156
-0.369987,-33.69774
-0.359979,-28.756284
-0.349972,-24.472434
-0.339964,-20.771038
-0.329956,-17.6427
-0.319948,-15.002871
-0.30994,-12.823368
-0.299933,-11.047824
-0.289925,-9.563508
-0.279917,-8.389207
-0.269909,-7.390581
-0.259902,-6.583601
-0.249894,-5.921296
-0.239886,-5.373602
-0.229878,-4.913275
-0.21987,-4.539378
-0.209863,-4.232181
-0.199855,-3.988865
-0.189847,-3.78031
-0.179839,-3.609331
-0.169832,-3.45996
-0.159824,-3.332196
-0.149816,-3.220403
-0.139808,-3.110488
-0.129800904,-3.008089
-0.11979312,-2.900993
-0.109785344,-2.80517
-0.09977756,-2.705589
-0.089769784,-2.605069
-0.079762,-2.503609
-0.069754224,-2.393695
-0.05974644,-2.291296
-0.049738664,-2.177624
-0.039730884,-2.055496
-0.029723104,-1.923035
-0.019715326,-1.775543
-0.009707546,-1.606443
0.000300233,-1.417616
0.010308012,-1.171482
0.020315792,-0.880256
0.03032357,-0.229223
0.040331348,0.342614
0.050339128,0.743097
0.060346908,1.614804
0.070354688,2.781214
0.080362472,4.388128
0.090370248,6.453019
0.100378032,9.02145
0.110385808,12.08027
0.120393584,15.563717
0.13040136,19.310206
0.140409,23.106486
0.150416,26.66415
0.160424,29.714514
0.170432,31.969172
0.18044,33.24681
0.190448,33.462884
0.200455,32.758304
0.210463,31.43369
0.220471,29.827248
0.230479,28.173832
0.240486,26.604964
0.250494,25.167622
0.260502,23.918164
0.27051,22.80023
0.280518,21.823212
0.290525,20.958926
0.300533,20.169796
0.310541,19.446426
0.320549,18.798212
0.330556,18.187574
0.340564,17.652092
0.350572,17.182374
0.36058,16.759624
0.370588,16.393243
0.380595,16.073832
0.390603,15.792
0.400611,15.547746
0.410619,15.331676
0.420626,15.153181
0.430634,14.993477
0.440642,14.85256
0.45065,14.749222
0.460658,14.674067
0.470665,14.598911
0.480673,14.542545
0.490681,14.514361
0.500689,14.495573
0.510696,14.467389
0.520704,14.486178
0.530712,14.514361
0.54072,14.561333
0.550728,14.6177
0.560735,14.692855
0.570743,14.796194
0.580751,14.91832
0.590759,15.059237
0.600766,15.200153
0.610774,15.369252
0.620782,15.57593
0.63079,15.801395
0.640798,16.045651
0.650805,16.327481
0.660813,16.656287
0.670821,17.00388
0.680829,17.40784
0.690837,17.85877
0.700844,18.366068
0.690837,14.429812
0.680829,12.259703
0.670821,10.700231
0.660813,9.478958
0.650805,8.448392
0.640798,7.584106
0.63079,6.836311
0.620782,6.189036
0.610774,5.623493
0.600766,5.114316
0.590759,4.664324
0.580751,4.258485
0.570743,3.893982
0.560735,3.558602
0.550728,3.261738
0.54072,2.988361
0.530712,2.740349
0.520704,2.510186
0.510696,2.30163
0.500689,2.105287
0.490681,1.928672
0.480673,1.759572
0.470665,1.604565
0.460658,1.459891
0.45065,1.320853
0.440642,1.196847
0.430634,1.075659
0.420626,0.961048
0.410619,0.865976
0.400611,0.765738
0.390603,0.665499
0.380595,0.57071
0.370588,0.478457
0.36058,0.387801
0.350572,0.305975
0.340564,0.213347
0.330556,0.120530264
0.320549,0.018788818
0.310541,-0.093944088
0.300533,-0.212689
0.290525,-0.371924
0.280518,-0.547881
0.27051,-0.755216
0.260502,-1.016193
0.250494,-1.351573
0.240486,-1.804853
0.230479,-2.426012
0.220471,-3.019926
0.210463,-4.472678
0.200455,-6.061272
0.190448,-8.124285
0.18044,-10.706808
0.170432,-13.789113
0.160424,-17.282892
0.150416,-21.010594
0.140409,-24.762722
0.13040136,-28.267776
0.120393584,-31.198832
0.110385808,-33.312574
0.100378032,-34.37414
0.090370248,-34.392932
0.080362472,-33.528644
0.070354688,-32.081904
0.060346908,-30.381518
0.050339128,-28.671734
0.040331348,-27.121658
0.03032357,-25.712496
0.020315792,-24.491222
0.010308012,-23.42026
0.000300233,-22.499608
-0.009707546,-21.701084
-0.019715326,-20.996502
-0.029723104,-20.395262
-0.039730884,-19.878568
-0.049738664,-19.427638
-0.05974644,-19.033072
-0.069754224,-18.685478
-0.079762,-18.366068
-0.089769784,-18.084238
-0.09977756,-17.830586
-0.109785344,-17.605122
-0.11979312,-17.445418
-0.129800904,-17.332684
-0.139808,-17.276318
-0.149816,-17.079034
-0.159824,-16.881752
-0.169832,-16.693864
-0.179839,-17.182374
-0.189847,-17.032064
-0.199855,-16.731442
-0.209863,-16.412032
-0.21987,-16.402637
-0.229878,-16.43082
-0.239886,-16.44961
-0.249894,-16.58113
-0.259902,-16.778414
-0.269909,-17.079034
-0.279917,-17.511178
-0.289925,-18.103026
-0.299933,-18.88276
-0.30994,-19.887964
-0.319948,-21.268942
-0.329956,-23.03509
-0.339964,-25.289748
-0.349972,-28.12686
-0.359979,-31.612184
-0.369987,-35.830272
-0.379995,-40.743548
-0.390003,-46.427168
