Voltage(V),Current(uA)
-0.40001,-28.22738
-0.390003,-24.049686
-0.379995,-20.320106
-0.369987,-17.097824
-0.359979,-14.335867
-0.349972,-12.006054
-0.339964,-10.09899
-0.329956,-8.539517
-0.319948,-7.30791
-0.30994,-6.339347
-0.299933,-5.588733
-0.289925,-5.013796
-0.279917,-4.572258
-0.269909,-4.234999
-0.259902,-4.095022
-0.249894,-3.909952
-0.239886,-3.734277
-0.229878,-3.603695
-0.21987,-3.495659
-0.209863,-3.41017
-0.199855,-3.333136
-0.189847,-3.269254
-0.179839,-3.211948
-0.169832,-3.155582
-0.159824,-3.105791
-0.149816,-3.050364
-0.139808,-3.00621
-0.129800904,-2.953602
-0.11979312,-2.904751
-0.109785344,-2.853082
-0.09977756,-2.800473
-0.089769784,-2.745985
-0.079762,-2.690558
-0.069754224,-2.634192
-0.05974644,-2.575007
-0.049738664,-2.513943
-0.039730884,-2.45194
-0.029723104,-2.38524
-0.019715326,-2.315721
-0.009707546,-2.236808
0.000300233,-2.152259
0.010308012,-2.051738
0.020315792,-1.374402
0.03032357,-0.892468
0.040331348,-1.549138
0.050339128,-1.270124
0.060346908,-0.887771
0.070354688,-0.366381
0.080362472,0.328804
0.090370248,1.225406
0.100378032,2.34879
0.110385808,3.051303
0.120393584,5.080496
0.13040136,6.512204
0.140409,7.81145
0.150416,8.865503
0.160424,9.569144
0.170432,9.901707
0.18044,9.905465
0.190448,9.663089
0.200455,9.264766
0.210463,8.795045
0.220471,8.304657
0.230479,7.827421
0.240486,7.381187
0.250494,6.97159
0.260502,6.608966
0.27051,6.279223
0.280518,5.985178
0.290525,5.721194
0.300533,5.486334
0.310541,5.272142
0.320549,5.084254
0.330556,4.909518
0.340564,4.757328
0.350572,4.61923
0.36058,4.493345
0.370588,4.375915
0.380595,4.276335
0.390603,4.179572
0.400611,4.095022
0.410619,4.01517
0.420626,3.944712
0.430634,3.87989
0.440642,3.821645
0.45065,3.769976
0.460658,3.72958
0.470665,3.683547
0.480673,3.646909
0.490681,3.616847
0.500689,3.588664
0.510696,3.569875
0.520704,3.551086
0.530712,3.538873
0.54072,3.534176
0.550728,3.533237
0.560735,3.539813
0.570743,3.551086
0.580751,3.569875
0.590759,3.59524
0.600766,3.626241
0.610774,3.667577
0.620782,3.716428
0.63079,3.775612
0.640798,3.840434
0.650805,3.924984
0.660813,4.022686
0.670821,4.129782
0.680829,4.258485
0.690837,4.413493
0.700844,4.589168
0.690837,3.838555
0.680829,3.349106
0.670821,2.97333
0.660813,2.676467
0.650805,2.430333
0.640798,2.225535
0.63079,2.047041
0.620782,1.892973
0.610774,1.761451
0.600766,1.643082
0.590759,1.538804
0.580751,1.445799
0.570743,1.364068
0.560735,1.287973
0.550728,1.220333
0.54072,1.155512
0.530712,1.101964
0.520704,1.045221
0.510696,0.997028
0.500689,0.954284
0.490681,0.914639
0.480673,0.877437
0.470665,0.842866
0.460658,0.810267
0.45065,0.779735
0.440642,0.751364
0.430634,0.723839
0.420626,0.698098
0.410619,0.673579
0.400611,0.650656
0.390603,0.628016
0.380595,0.606972
0.370588,0.58668
0.36058,0.566294
0.350572,0.546003
0.340564,0.52618
0.330556,0.506452
0.320549,0.484751
0.310541,0.461735
0.300533,0.434773
0.290525,0.402644
0.280518,0.363281
0.27051,0.315464
0.260502,0.255715
0.250494,0.176708
0.240486,0.069142848
0.230479,-0.07938276
0.220471,-0.292447
0.210463,-0.590908
0.200455,-1.006892
0.190448,-1.574502
0.18044,-2.331598
0.170432,-3.056095
0.160424,-4.490527
0.150416,-5.860232
0.140409,-7.327638
0.13040136,-8.764983
0.120393584,-10.038865
0.110385808,-11.019641
0.100378032,-11.630277
0.090370248,-11.875472
0.080362472,-11.805014
0.070354688,-11.516605
0.060346908,-11.101373
0.050339128,-10.629773
0.040331348,-10.151597
0.03032357,-9.695029
0.020315792,-9.267584
0.010308012,-8.884292
0.000300233,-8.53482
-0.009707546,-8.223865
-0.019715326,-7.944851
-0.029723104,-7.701536
-0.039730884,-7.478888
-0.049738664,-7.285364
-0.05974644,-7.10593
-0.069754224,-6.945286
-0.079762,-6.798733
-0.089769784,-6.665333
-0.09977756,-6.550721
-0.109785344,-6.471808
-0.11979312,-6.389137
-0.129800904,-6.31774
-0.139808,-6.43493475
-0.149816,-6.583601
-0.159824,-6.449261
-0.169832,-5.985178
-0.179839,-5.939145
-0.189847,-5.822654
-0.199855,-5.759712
-0.209863,-5.737165
-0.21987,-5.727771
-0.229878,-5.731529
-0.239886,-5.754075
-0.249894,-5.824533
-0.259902,-5.948539
-0.269909,-6.135488
-0.279917,-6.399471
-0.289925,-6.780884
-0.299933,-7.306031
-0.30994,-8.01437
-0.319948,-8.950053
-0.329956,-10.123415
-0.339964,-11.573912
-0.349972,-13.325029
-0.359979,-15.435953
-0.369987,-17.956474
-0.379995,-20.942014
-0.390003,-24.434856
