Voltage(V),Current(uA)
-0.40001,-57.146188
-0.390003,-48.681824
-0.379995,-42.133924
-0.369987,-36.403332
-0.359979,-31.30217
-0.349972,-26.858614
-0.339964,-22.95054
-0.329956,-19.55916
-0.319948,-16.656287
-0.30994,-14.176163
-0.299933,-12.137576
-0.289925,-10.343243
-0.279917,-8.868322
-0.269909,-7.623562
-0.259902,-6.56857
-0.249894,-5.691133
-0.239886,-4.921731
-0.229878,-4.262243
-0.21987,-3.677911
-0.209863,-3.168734
-0.199855,-2.717802
-0.189847,-2.323237
-0.179839,-1.977522
-0.169832,-1.684417
-0.159824,-1.446739
-0.149816,-1.25885
-0.139808,-1.087872
-0.129800904,-0.936622
-0.11979312,-0.790069
-0.109785344,-0.621252
-0.09977756,-0.48569
-0.089769784,-0.340453
-0.079762,-0.196249
-0.069754224,-0.056272512
-0.05974644,0.07750388
-0.049738664,0.196343
-0.039730884,0.318376
-0.029723104,0.451495
-0.019715326,0.60143
-0.009707546,0.785278
0.000300233,1.003698
0.010308012,1.296992
0.020315792,1.685544
0.03032357,2.403935
0.040331348,3.866738
0.050339128,4.01517
0.060346908,5.13968
0.070354688,6.795915
0.080362472,9.018632
0.090370248,11.852925
0.100378032,15.341069
0.110385808,19.45582
0.120393584,24.119206
0.13040136,29.162124
0.140409,34.383536
0.150416,39.531672
0.160424,44.275848
0.170432,48.315444
0.18044,51.27468
0.190448,52.909308
0.200455,53.050224
0.210463,51.810164
0.220471,49.574292
0.230479,46.878096
0.240486,44.134932
0.250494,41.607836
0.260502,39.390756
0.27051,37.483692
0.280518,35.867852
0.290525,34.486872
0.300533,33.321968
0.310541,32.251006
0.320549,31.32096
0.330556,30.437884
0.340564,29.592388
0.350572,28.840836
0.36058,28.173832
0.370588,27.600772
0.380595,27.06529
0.390603,26.576782
0.400611,26.144638
0.410619,25.750074
0.420626,25.42127
0.430634,25.111254
0.440642,24.857606
0.45065,24.63214
0.460658,24.453646
0.470665,24.29394
0.480673,24.162418
0.490681,24.068476
0.500689,23.99332
0.510696,23.955742
0.520704,23.946348
0.530712,23.946348
0.54072,23.983926
0.550728,24.040292
0.560735,24.124842
0.570743,24.228178
0.580751,24.3597
0.590759,24.528802
0.600766,24.707296
0.610774,24.913972
0.620782,25.158226
0.63079,25.440058
0.640798,25.750074
0.650805,26.088274
0.660813,26.473442
0.670821,26.924376
0.680829,27.40349
0.690837,27.938972
0.700844,28.549608
0.690837,21.344096
0.680829,17.670884
0.670821,15.106209
0.660813,13.142778
0.650805,11.52694
0.640798,10.183539
0.63079,9.028027
0.620782,8.024703
0.610774,7.13975
0.600766,6.345923
0.590759,5.633827
0.580751,4.995946
0.570743,4.425705
0.560735,3.895861
0.550728,3.417685
0.54072,2.977088
0.530712,2.574068
0.520704,2.206746
0.510696,1.857274
0.500689,1.538804
0.490681,1.24288
0.480673,0.968563
0.470665,0.710217
0.460658,0.466902
0.45065,0.246321
0.440642,0.031471272
0.430634,-0.170508
0.420626,-0.360369
0.410619,-0.54309
0.400611,-0.719141
0.390603,-0.888617
0.380595,-1.045597
0.370588,-1.205114
0.36058,-1.357961
0.350572,-1.504044
0.340564,-1.659334
0.330556,-1.819039
0.320549,-1.998472
0.310541,-2.18373
0.300533,-2.375845
0.290525,-2.6077
0.280518,-2.934813
0.27051,-3.286164
0.260502,-3.717367
0.250494,-4.260364
0.240486,-4.996886
0.230479,-5.982359
0.220471,-7.314486
0.210463,-9.090969
0.200455,-11.411388
0.190448,-14.359353
0.18044,-17.962108
0.170432,-22.17644
0.160424,-26.912162
0.150416,-32.006752
0.140409,-37.23004
0.13040136,-42.303024
0.120393584,-46.915676
0.110385808,-50.748596
0.100378032,-53.426004
0.090370248,-54.713036
0.080362472,-54.487568
0.070354688,-52.9281
0.060346908,-50.43858
0.050339128,-47.554496
0.040331348,-44.698596
0.03032357,-42.115132
0.020315792,-39.869872
0.010308012,-37.953412
0.000300233,-36.337572
-0.009707546,-34.9472
-0.019715326,-33.7729
-0.029723104,-32.777094
-0.039730884,-31.922202
-0.049738664,-31.198832
-0.05974644,-30.560012
-0.069754224,-30.02453
-0.079762,-29.53602
-0.089769784,-29.094484
-0.09977756,-28.699918
-0.109785344,-28.352326
-0.11979312,-28.061098
-0.129800904,-27.845028
-0.139808,-27.732294
-0.149816,-27.657138
-0.159824,-27.516222
-0.169832,-27.281364
-0.179839,-27.093474
-0.189847,-26.84922
-0.199855,-26.69891
-0.209863,-26.586176
-0.21987,-26.492232
-0.229878,-26.46405
-0.239886,-26.445262
-0.249894,-26.511022
-0.259902,-26.651936
-0.269909,-26.858614
-0.279917,-27.196812
-0.289925,-27.657138
-0.299933,-28.25838
-0.30994,-29.028722
-0.319948,-30.118474
-0.329956,-31.53703
-0.339964,-33.340754
-0.349972,-35.614204
-0.359979,-38.451312
-0.369987,-41.97422
-0.379995,-46.23928
-0.390003,-51.331048
