Voltage(V),Current(uA)
-0.40001,-52.195332
-0.390003,-41.42934
-0.379995,-35.078724
-0.369987,-30.146656
-0.359979,-26.06009
-0.349972,-22.56537
-0.339964,-19.549764
-0.329956,-16.947512
-0.319948,-14.692855
-0.30994,-12.757607
-0.299933,-11.066614
-0.289925,-9.582297
-0.279917,-8.276474
-0.269909,-7.125659
-0.259902,-6.107305
-0.249894,-5.203562
-0.239886,-4.382491
-0.229878,-3.650667
-0.21987,-2.9893
-0.209863,-2.378664
-0.199855,-1.836606
-0.189847,-1.332127
-0.179839,-0.866164
-0.169832,-0.449052
-0.159824,-0.064821424
-0.149816,0.28155
-0.139808,0.602745
-0.129800904,0.908157
-0.11979312,1.194311
-0.109785344,1.464118
-0.09977756,1.716734
-0.089769784,1.991051
-0.079762,2.232017
-0.069754224,2.480124
-0.05974644,2.706529
-0.049738664,2.911327
-0.039730884,3.129277
-0.029723104,3.366016
-0.019715326,3.654425
-0.009707546,4.018927
0.000300233,4.457646
0.010308012,5.082375
0.020315792,5.958873
0.03032357,7.142569
0.040331348,8.667281
0.050339128,10.658896
0.060346908,13.323151
0.070354688,16.720168
0.080362472,20.901618
0.090370248,25.834622
0.100378032,31.480664
0.110385808,37.690368
0.120393584,44.32282
0.13040136,51.152556
0.140409,57.878952
0.150416,64.210784
0.160424,69.781672
0.170432,74.281584
0.18044,77.2878
0.190448,78.471496
0.200455,77.729336
0.210463,75.192848
0.220471,71.491448
0.230479,67.27336
0.240486,63.130428
0.250494,59.419636
0.260502,56.225536
0.27051,53.585708
0.280518,51.434388
0.290525,49.611872
0.300533,47.911484
0.310541,46.323828
0.320549,44.924064
0.330556,43.655816
0.340564,42.519092
0.350572,41.542076
0.36058,40.715364
0.370588,40.010788
0.380595,39.400148
0.390603,38.864668
0.400611,38.385552
0.410619,37.962804
0.420626,37.60582
0.430634,37.2958
0.440642,37.03276
0.45065,36.807292
0.460658,36.610008
0.470665,36.516064
0.480673,36.375148
0.490681,36.2906
0.500689,36.234236
0.510696,36.22484
0.520704,36.234236
0.530712,36.281204
0.54072,36.375148
0.550728,36.506672
0.560735,36.656984
0.570743,36.835476
0.580751,37.051548
0.590759,37.286408
0.600766,37.53066
0.610774,37.77492
0.620782,38.047356
0.63079,38.366764
0.640798,38.686176
0.650805,39.061952
0.660813,39.465908
0.670821,39.907448
0.680829,40.42414
0.690837,40.987804
0.700844,41.607836
0.690837,30.973366
0.680829,25.543398
0.670821,21.766844
0.660813,18.863972
0.650805,16.44961
0.640798,14.420418
0.63079,12.663662
0.620782,11.113585
0.610774,9.76079
0.600766,8.511334
0.590759,7.39152
0.580751,6.364711
0.570743,5.422452
0.560735,4.545015
0.550728,3.707973
0.54072,2.931055
0.530712,2.176684
0.520704,1.459891
0.510696,0.782554
0.500689,0.173796
0.490681,-0.380473
0.480673,-0.900078
0.470665,-1.307325
0.460658,-1.717391
0.45065,-2.029192
0.440642,-2.343999
0.430634,-2.649223
0.420626,-2.960178
0.410619,-3.262678
0.400611,-3.536055
0.390603,-3.819766
0.380595,-4.091265
0.370588,-4.347732
0.36058,-4.602321
0.350572,-4.847514
0.340564,-5.099285
0.330556,-5.348237
0.320549,-5.608462
0.310541,-5.881839
0.300533,-6.180581
0.290525,-6.534751
0.280518,-6.952802
0.27051,-7.414067
0.260502,-7.902576
0.250494,-8.459665
0.240486,-9.129487
0.230479,-9.976862
0.220471,-11.082583
0.210463,-12.571598
0.200455,-14.546303
0.190448,-17.162644
0.18044,-20.48263
0.170432,-24.579532
0.160424,-29.40262
0.150416,-35.022356
0.140409,-41.203876
0.13040136,-47.808148
0.120393584,-54.63788
0.110385808,-61.383064
0.100378032,-67.761872
0.090370248,-73.492456
0.080362472,-78.142688
0.070354688,-81.355576
0.060346908,-82.755352
0.050339128,-82.229264
0.040331348,-79.899448
0.03032357,-76.2826
0.020315792,-72.064512
0.010308012,-67.837024
0.000300233,-63.994708
-0.009707546,-60.631516
-0.019715326,-57.803796
-0.029723104,-55.398828
-0.039730884,-53.36024
-0.049738664,-51.631668
-0.05974644,-50.128564
-0.069754224,-48.86032
-0.079762,-47.789356
-0.089769784,-46.849916
-0.09977756,-46.023208
-0.109785344,-45.26226
-0.11979312,-44.604652
-0.129800904,-44.003412
-0.139808,-43.458536
-0.149816,-42.988816
-0.159824,-42.584852
-0.169832,-42.246656
-0.179839,-41.964824
-0.189847,-41.72996
-0.199855,-41.495104
-0.209863,-41.250848
-0.21987,-40.978408
-0.229878,-40.752944
-0.239886,-40.565056
-0.249894,-40.405352
-0.259902,-40.264436
-0.269909,-40.198676
-0.279917,-40.18928
-0.289925,-40.236252
-0.299933,-40.35838
-0.30994,-40.565056
-0.319948,-40.912648
-0.329956,-41.391764
-0.339964,-42.03998
-0.349972,-42.87608
-0.359979,-43.975228
-0.369987,-45.374992
-0.379995,-47.169324
-0.390003,-49.442772
