ox_voltage,ox_current,red_voltage,red_current,peak_separation,scan_rate,file_path,success,device,concentration_str,concentration
0.0786,-3.1628,0.1682,3.2576,0.08959999999999999,100,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_100mVpS_E1_scan_04.csv,True,STM32,1mM,1.0
0.0786,-3.2213,0.1682,3.2457000000000003,0.08959999999999999,100,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_100mVpS_E1_scan_05.csv,True,STM32,1mM,1.0
0.0786,-3.2375,0.1682,3.2369,0.08959999999999999,100,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_100mVpS_E1_scan_06.csv,True,STM32,1mM,1.0
0.0786,-3.252,0.1682,3.2418,0.08959999999999999,100,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_100mVpS_E1_scan_07.csv,True,STM32,1mM,1.0
0.0786,-3.271,0.1682,3.2465,0.08959999999999999,100,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_100mVpS_E1_scan_08.csv,True,STM32,1mM,1.0
0.0786,-3.2869,0.1682,3.2421,0.08959999999999999,100,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_100mVpS_E1_scan_09.csv,True,STM32,1mM,1.0
0.0786,-3.309,0.1682,3.2561,0.08959999999999999,100,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_100mVpS_E1_scan_10.csv,True,STM32,1mM,1.0
0.0786,-3.3173,0.1682,3.2624,0.08959999999999999,100,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_100mVpS_E1_scan_11.csv,True,STM32,1mM,1.0
0.0683,-5.061400000000001,0.1779,5.6238,0.1096,200,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_200mVpS_E1_scan_02.csv,True,STM32,1mM,1.0
0.0683,-5.154100000000001,0.1779,5.31,0.1096,200,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_200mVpS_E1_scan_03.csv,True,STM32,1mM,1.0
0.0683,-5.1955,0.1779,5.238,0.1096,200,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_200mVpS_E1_scan_04.csv,True,STM32,1mM,1.0
0.0683,-5.2318,0.1779,5.2197000000000005,0.1096,200,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_200mVpS_E1_scan_05.csv,True,STM32,1mM,1.0
0.0683,-5.248,0.1779,5.1928,0.1096,200,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_200mVpS_E1_scan_06.csv,True,STM32,1mM,1.0
0.0683,-5.2654,0.1779,5.1845,0.1096,200,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_200mVpS_E1_scan_07.csv,True,STM32,1mM,1.0
0.0683,-5.2775,0.1779,5.1848,0.1096,200,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_200mVpS_E1_scan_08.csv,True,STM32,1mM,1.0
0.0683,-5.3077,0.1779,5.1999,0.1096,200,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_200mVpS_E1_scan_09.csv,True,STM32,1mM,1.0
0.0683,-5.3354,0.1779,5.1906,0.1096,200,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_200mVpS_E1_scan_10.csv,True,STM32,1mM,1.0
0.0683,-5.346500000000001,0.1779,5.214,0.1096,200,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_200mVpS_E1_scan_11.csv,True,STM32,1mM,1.0
0.0683,-1.1809,0.1584,0.95494,0.09010000000000001,20,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_20mVpS_E1_scan_02.csv,True,STM32,1mM,1.0
0.0683,-1.1878000000000002,0.1584,0.96779,0.09010000000000001,20,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_20mVpS_E1_scan_03.csv,True,STM32,1mM,1.0
0.0683,-1.1831,0.1584,0.97511,0.09010000000000001,20,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_20mVpS_E1_scan_04.csv,True,STM32,1mM,1.0
0.0683,-1.1774,0.1584,0.97878,0.09010000000000001,20,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_20mVpS_E1_scan_05.csv,True,STM32,1mM,1.0
0.0683,-1.1826,0.1584,0.99901,0.09010000000000001,20,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_20mVpS_E1_scan_06.csv,True,STM32,1mM,1.0
0.0683,-1.1603,0.1584,1.0011,0.09010000000000001,20,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_20mVpS_E1_scan_07.csv,True,STM32,1mM,1.0
0.0683,-1.199,0.1682,0.99102,0.09989999999999999,20,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_20mVpS_E1_scan_08.csv,True,STM32,1mM,1.0
0.0683,-1.1983,0.1682,0.99848,0.09989999999999999,20,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_20mVpS_E1_scan_09.csv,True,STM32,1mM,1.0
0.0683,-1.2018,0.1682,1.0083,0.09989999999999999,20,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_20mVpS_E1_scan_10.csv,True,STM32,1mM,1.0
