voltage,current
-0.40001,-0.000115463064
-0.390003,-7.204591999999999e-05
-0.379995,-5.7921123999999996e-05
-0.369987,-4.7920876e-05
-0.359979,-4.1025384e-05
-0.349972,-3.5379344e-05
-0.339964,-3.0644562e-05
-0.329956,-2.6661332e-05
-0.319948,-2.3298134e-05
-0.30994,-2.0479812e-05
-0.299933,-1.8140602e-05
-0.289925,-1.6186566e-05
-0.279917,-1.4580121999999998e-05
-0.269909,-1.3236720999999999e-05
-0.259902,-1.2137575999999998e-05
-0.249894,-1.1216924e-05
-0.239886,-1.0446581999999998e-05
-0.229878,-9.783337e-06
-0.21987,-9.221551e-06
-0.209863,-8.741497000000001e-06
-0.199855,-8.325325e-06
-0.189847,-7.956125e-06
-0.179839,-7.644229999999999e-06
-0.169832,-7.345487999999999e-06
-0.159824,-7.083383999999999e-06
-0.149816,-6.861676e-06
-0.139808,-6.648423e-06
-0.129800904,-6.452079e-06
-0.11979312,-6.2735859999999996e-06
-0.109785344,-6.100729e-06
-0.09977756,-5.931628999999999e-06
-0.089769784,-5.768167e-06
-0.079762,-5.6056429999999994e-06
-0.069754224,-5.448756999999999e-06
-0.05974644,-5.289051999999999e-06
-0.049738664,-5.135923e-06
-0.039730884,-4.977156999999999e-06
-0.029723104,-4.813695e-06
-0.019715326,-4.6511709999999994e-06
-0.009707546,-4.5046189999999995e-06
0.000300233,-4.3721579999999995e-06
0.010308012,-4.203058000000001e-06
0.020315792,-3.9907449999999995e-06
0.03032357,-3.641272e-06
0.040331348,-3.2589199999999995e-06
0.050339128,-2.792018e-06
0.060346908,-2.114681e-06
0.070354688,-1.177119e-06
0.080362472,1.12732912e-07
0.090370248,1.8469399999999999e-06
0.100378032,4.1213269999999995e-06
0.110385808,6.999774e-06
0.120393584,1.0517979999999999e-05
0.13040136,1.458482e-05
0.140409,1.9045283999999998e-05
0.150416,2.3665454e-05
0.160424,2.8131556e-05
0.170432,3.2138272e-05
0.18034,3.5247824e-05
0.190448,3.7408536e-05
0.200455,3.827282e-05
0.210463,3.7934624e-05
0.220471,3.6675772e-05
0.230479,3.488144e-05
0.240486,3.2936796e-05
0.250494,3.1057916e-05
0.260502,2.9329342e-05
0.27051,2.7807449999999998e-05
0.280518,2.6473441999999998e-05
0.290525,2.5280353999999997e-05
0.300533,2.424697e-05
0.310541,2.33545e-05
0.320549,2.2527792e-05
0.330556,2.1766843999999997e-05
0.340564,2.1081052e-05
0.350572,2.0451628e-05
0.36058,1.9906752e-05
0.370588,1.9418241999999998e-05
0.380595,1.8976706e-05
0.390603,1.8572746e-05
0.400611,1.819697e-05
0.410619,1.785877e-05
0.420626,1.7548756e-05
0.430634,1.7266923999999998e-05
0.440642,1.7003879999999997e-05
0.45065,1.6778414e-05
0.460658,1.6562342e-05
0.470665,1.6365059999999997e-05
0.480673,1.6195961e-05
0.490681,1.6045650999999997e-05
0.500689,1.5914129e-05
0.510696,1.5792e-05
0.520704,1.5698057e-05
0.530712,1.5604113e-05
0.54072,1.5538351e-05
0.550728,1.5472591e-05
0.560735,1.5444408e-05
0.570743,1.5425619e-05
0.580751,1.5425619e-05
0.590759,1.5435012e-05
0.600766,1.5463196e-05
0.610774,1.5519563e-05
0.620782,1.5585325e-05
0.63079,1.5669873e-05
0.640798,1.5782607e-05
0.650805,1.5932916999999998e-05
0.660813,1.6092623e-05
0.670821,1.628051e-05
0.680829,1.6524765e-05
0.690837,1.681599e-05
0.700844,1.7135401999999997e-05
0.690837,1.4429812e-05
0.680829,1.2936101e-05
0.670821,1.1865138e-05
0.660813,1.1010246999999999e-05
0.650805,1.0305666e-05
0.640798,9.72885e-06
0.63079,9.219673e-06
0.620782,8.766862e-06
0.610774,8.372297e-06
0.600766,8.018128e-06
0.590759,7.690263e-06
0.580751,7.402794e-06
0.570743,7.135992e-06
0.560735,6.891738e-06
0.550728,6.664392999999999e-06
0.54072,6.464292e-06
