voltage,current
-0.40001,-5.5060627999999996e-05
-0.390003,-4.8071192e-05
-0.379995,-4.1682992e-05
-0.369987,-3.602755599999999e-05
-0.359979,-3.1020337999999996e-05
-0.349972,-2.6680119999999997e-05
-0.339964,-2.2922357999999998e-05
-0.329956,-1.9728258e-05
-0.319948,-1.7050852e-05
-0.30994,-1.4824376999999999e-05
-0.299933,-1.3001862e-05
-0.289925,-1.1508150999999999e-05
-0.279917,-1.0305666e-05
-0.269909,-9.347437e-06
-0.259902,-8.558305999999999e-06
-0.249894,-7.927002e-06
-0.239886,-7.411248999999999e-06
-0.229878,-6.9885e-06
-0.21987,-6.646543999999999e-06
-0.209863,-6.3647109999999995e-06
-0.199855,-6.134547999999999e-06
-0.189847,-5.945721e-06
-0.179839,-5.7888349999999994e-06
-0.169832,-5.642281999999999e-06
-0.159824,-5.5126389999999996e-06
-0.149816,-5.3999059999999995e-06
-0.139808,-5.293749e-06
-0.129800904,-5.186653e-06
-0.11979312,-5.080496e-06
-0.109785344,-4.979975999999999e-06
-0.09977756,-4.872879e-06
-0.089769784,-4.760147e-06
-0.079762,-4.646474e-06
-0.069754224,-4.529044e-06
-0.05974644,-4.409735e-06
-0.049738664,-4.28385e-06
-0.039730884,-4.144813e-06
-0.029723104,-4.002017999999999e-06
-0.019715326,-3.838554999999999e-06
-0.009707546,-3.661001e-06
0.000300233,-3.469355e-06
0.010308012,-3.251405e-06
0.020315792,-2.992119e-06
0.03032357,-2.58628e-06
0.040331348,-2.228353e-06
0.050339128,-1.722934e-06
0.060346908,-1.0061409999999999e-06
0.070354688,-2.5364903999999998e-08
0.080362472,1.2973669999999998e-06
0.090370248,3.059759e-06
0.100378032,5.360448999999999e-06
0.110385808,8.256745e-06
0.120393584,1.1792801e-05
0.13040136,1.5896278999999998e-05
0.140409,2.0401835999999997e-05
0.150416,2.5093403999999997e-05
0.160424,2.9629966e-05
0.170432,3.3782291999999995e-05
0.18034,3.7060943999999996e-05
0.190448,3.9371963999999997e-05
0.200455,4.0433536e-05
0.210463,4.0226856e-05
0.220471,3.9043159999999996e-05
0.230479,3.7286408e-05
0.240486,3.5276003999999997e-05
0.250494,3.3312574e-05
0.260502,3.1480664e-05
0.27051,2.9817851999999997e-05
0.280518,2.8342929999999998e-05
0.290525,2.7037107999999998e-05
0.300533,2.5853411999999998e-05
0.310541,2.478245e-05
0.320549,2.382422e-05
0.330556,2.295054e-05
0.340564,2.2133227999999997e-05
0.350572,2.1400462e-05
0.36058,2.073346e-05
0.370588,2.0151005999999997e-05
0.380595,1.9615524e-05
0.390603,1.9127016e-05
0.400611,1.8694874e-05
0.410619,1.8300308e-05
0.420626,1.794332e-05
0.430634,1.7623912e-05
0.440642,1.7323288e-05
0.45065,1.7060246e-05
0.460658,1.6825386e-05
0.470665,1.6609314000000002e-05
0.480673,1.6412032e-05
0.490681,1.6242933e-05
0.500689,1.6092623e-05
0.510696,1.5961100999999998e-05
0.520704,1.5838974e-05
0.530712,1.5745028e-05
0.54072,1.566048e-05
0.550728,1.5585325e-05
0.560735,1.5547746e-05
0.570743,1.5519563e-05
0.580751,1.5500773999999998e-05
0.590759,1.5510168999999998e-05
0.600766,1.5538351e-05
0.610774,1.5594718e-05
0.620782,1.5651085e-05
0.63079,1.5745028e-05
0.640798,1.5857762e-05
0.650805,1.6008071999999997e-05
0.660813,1.6186566e-05
0.670821,1.6393243e-05
0.680829,1.6646892e-05
0.690837,1.6947512e-05
0.700844,1.73045e-05
0.690837,1.4570728000000001e-05
0.680829,1.3067622999999998e-05
0.670821,1.1977871e-05
0.660813,1.1104191e-05
0.650805,1.0390216e-05
0.640798,9.792732000000001e-06
0.63079,9.271342e-06
0.620782,8.813834e-06
0.610774,8.408934999999999e-06
0.600766,8.052887e-06
0.590759,7.724083e-06
0.580751,7.42534e-06
0.570743,7.153842e-06
0.560735,6.915224e-06
0.550728,6.6803639999999995e-06
0.54072,6.476505e-06
0.530712,6.2754649999999996e-06
0.520704,6.088516e-06
0.510696,5.914719e-06
0.500689,5.753135e-06
0.490681,5.598128e-06
0.480673,5.4515749999999996e-06
0.470665,5.317235e-06
0.460658,5.185713e-06
0.45065,5.064525e-06
0.440642,4.931124999999999e-06
0.430634,4.818392e-06
0.420626,4.707537999999999e-06
0.410619,4.606078e-06
0.400611,4.496164e-06
0.390603,4.390946e-06
0.380595,4.286667999999999e-06
0.370588,4.187088e-06
0.36058,4.079052e-06
0.350572,3.974774e-06
0.340564,3.860161999999999e-06
0.330556,3.731459e-06
0.320549,3.5896029999999998e-06
0.310541,3.4289589999999996e-06
0.300533,3.24201e-06
0.290525,3.010908e-06
0.280518,2.7271960000000002e-06
0.27051,2.366451e-06
0.260502,1.888276e-06
0.250494,1.2297279999999998e-06
0.240486,3.22228e-07
0.230479,-9.32864e-07
0.220471,-2.621134e-06
0.210463,-4.896366000000001e-06
0.200455,-7.788903999999999e-06
0.190448,-1.1316505e-05
0.18034,-1.5426558e-05
0.170432,-1.9848506e-05
0.160424,-2.4539136e-05
0.150416,-2.9034359999999998e-05
0.140409,-3.316226e-05
0.13040136,-3.6431516e-05
0.120393584,-3.8592232e-05
0.110385808,-3.9494092e-05
0.100378032,-3.9137104e-05
0.090370248,-3.7850071999999995e-05
0.080362472,-3.598998e-05
0.070354688,-3.3951392e-05
0.060346908,-3.1959778e-05
0.050339128,-3.0118474e-05
0.040331348,-2.8502636e-05
0.03032357,-2.706529e-05
0.020315792,-2.5797046e-05
0.010308012,-2.4679112e-05
0.000300233,-2.3711488e-05
-0.009707546,-2.2856596e-05
-0.019715326,-2.2105044e-05
-0.029723104,-2.143804e-05
-0.039730884,-2.08368e-05
-0.049738664,-2.0291921999999998e-05
-0.05974644,-1.9812808e-05
-0.069754224,-1.9390057999999998e-05
-0.079762,-1.8976706e-05
-0.089769784,-1.8600928e-05
-0.09977756,-1.8262731999999998e-05
-0.109785344,-1.7962108e-05
-0.11979312,-1.7689672e-05
-0.129800904,-1.7445418e-05
-0.139808,-1.7201162e-05
-0.149816,-1.6966302e-05
-0.159824,-1.6731442000000002e-05
-0.169832,-1.6534159e-05
-0.179839,-1.6346271e-05
-0.189847,-1.6167777999999998e-05
-0.199855,-1.6064438999999998e-05
-0.209863,-1.5951705e-05
-0.21987,-1.5885945e-05
-0.229878,-1.5885945e-05
-0.239886,-1.5904734e-05
-0.249894,-1.6017467e-05
-0.259902,-1.6242933e-05
-0.269909,-1.658113e-05
-0.279917,-1.7079034e-05
-0.289925,-1.7755431999999997e-05
-0.299933,-1.8676084e-05
-0.30994,-1.9869175999999997e-05
-0.319948,-2.1447436e-05
-0.329956,-2.3467232e-05
-0.339964,-2.6003724e-05
-0.349972,-2.9160243999999996e-05
