Actual_Concentration_mM,Predicted_Concentration_mM,Line_Type,Line_Style,Line_Color
19.11111111111111,19.11111111111111,Unity_Line_Detailed,Dashed,Orange
19.333333333333332,19.333333333333332,Unity_Line_Detailed,Dashed,Orange
19.555555555555554,19.555555555555554,Unity_Line_Detailed,Dashed,Orange
19.777777777777775,19.777777777777775,Unity_Line_Detailed,Dashed,Orange
20.0,20.0,Unity_Line_Detailed,Dashed,Orange
20.22222222222222,20.22222222222222,Unity_Line_Detailed,Dashed,Orange
20.444444444444443,20.444444444444443,Unity_Line_Detailed,Dashed,Orange
20.666666666666664,20.666666666666664,Unity_Line_Detailed,Dashed,Orange
20.88888888888889,20.88888888888889,Unity_Line_Detailed,Dashed,Orange
21.11111111111111,21.11111111111111,Unity_Line_Detailed,Dashed,Orange
21.333333333333332,21.333333333333332,Unity_Line_Detailed,Dashed,Orange
21.555555555555554,21.555555555555554,Unity_Line_Detailed,Dashed,Orange
21.777777777777775,21.777777777777775,Unity_Line_Detailed,Dashed,Orange
22.0,22.0,Unity_Line_Detailed,Dashed,Orange
