device,concentration,scan_rate,electrode,scan_number,filename,ox_voltage,ox_current,ox_confidence,red_voltage,red_current,red_confidence,peak_separation_voltage,peak_separation_current,current_ratio,midpoint_potential
STM32,5.0,100.0,E3,7,Pipot_Ferro_0_5mM_100mVpS_E3_scan_07,0.1779,22.106,73.8041620967444,0.0683,-24.051,97.08743395773203,0.1096,46.157,-0.9191301816972268,0.1231
STM32,5.0,100.0,E3,8,Pipot_Ferro_0_5mM_100mVpS_E3_scan_08,0.1779,22.142,72.80499348441167,0.0683,-24.179,98.21509146303907,0.1096,46.321,-0.9157533396749246,0.1231
STM32,5.0,100.0,E3,9,Pipot_Ferro_0_5mM_100mVpS_E3_scan_09,0.1779,22.112,73.01563453362938,0.0683,-24.535,100.0,0.1096,46.647,-0.9012431220705115,0.1231
STM32,5.0,100.0,E3,10,Pipot_Ferro_0_5mM_100mVpS_E3_scan_10,0.1779,22.191000000000003,75.47674570459431,0.0683,-24.577,100.0,0.1096,46.768,-0.9029173617609961,0.1231
STM32,5.0,100.0,E3,11,Pipot_Ferro_0_5mM_100mVpS_E3_scan_11,0.1779,22.299,74.1106689989582,0.0683,-24.533,100.0,0.1096,46.832,-0.9089389801491867,0.1231
STM32,5.0,200.0,E1,2,Pipot_Ferro_0_5mM_200mVpS_E1_scan_02,0.1682,2.4714,65.47941126512175,0.0786,-2.4299,100.0,0.08959999999999999,4.9013,-1.017078892135479,0.1234
STM32,5.0,200.0,E1,3,Pipot_Ferro_0_5mM_200mVpS_E1_scan_03,0.1682,2.4461000000000004,71.53307857480611,0.0786,-2.4548,100.0,0.08959999999999999,4.9009,-0.9964559230894575,0.1234
STM32,5.0,200.0,E1,4,Pipot_Ferro_0_5mM_200mVpS_E1_scan_04,0.1682,2.4488000000000003,74.9741756532053,0.0786,-2.4852,100.0,0.08959999999999999,4.934,-0.9853532914855949,0.1234
STM32,5.0,200.0,E1,5,Pipot_Ferro_0_5mM_200mVpS_E1_scan_05,0.1682,2.4565,76.78645332209149,0.0786,-2.5,100.0,0.08959999999999999,4.9565,-0.9826,0.1234
STM32,5.0,200.0,E1,6,Pipot_Ferro_0_5mM_200mVpS_E1_scan_06,0.1682,2.4599,74.52281365572776,0.0786,-2.5077000000000003,100.0,0.08959999999999999,4.967600000000001,-0.9809387087769669,0.1234
STM32,5.0,200.0,E1,7,Pipot_Ferro_0_5mM_200mVpS_E1_scan_07,0.1682,2.4754,74.67621410422223,0.0786,-2.5268,100.0,0.08959999999999999,5.0022,-0.9796580655374386,0.1234
STM32,5.0,200.0,E1,8,Pipot_Ferro_0_5mM_200mVpS_E1_scan_08,0.1682,2.4623,77.1837618587686,0.0786,-2.5315,100.0,0.08959999999999999,4.9938,-0.9726644282046218,0.1234
STM32,5.0,200.0,E1,9,Pipot_Ferro_0_5mM_200mVpS_E1_scan_09,0.1682,2.4822,76.78926089189335,0.0786,-2.5417,100.0,0.08959999999999999,5.0239,-0.9765904709446434,0.1234
STM32,5.0,200.0,E1,10,Pipot_Ferro_0_5mM_200mVpS_E1_scan_10,0.1682,2.4848,78.79311822115048,0.0786,-2.5517,100.0,0.08959999999999999,5.0365,-0.9737821844260689,0.1234
STM32,5.0,200.0,E1,11,Pipot_Ferro_0_5mM_200mVpS_E1_scan_11,0.1682,2.4791000000000003,78.87976647405534,0.0786,-2.5588,100.0,0.08959999999999999,5.0379000000000005,-0.9688525871502267,0.1234
STM32,5.0,200.0,E2,2,Pipot_Ferro_0_5mM_200mVpS_E2_scan_02,0.1779,32.394,65.84771862035262,0.0884,-29.505,100.0,0.0895,61.899,-1.0979156075241485,0.13315
STM32,5.0,200.0,E2,3,Pipot_Ferro_0_5mM_200mVpS_E2_scan_03,0.1779,30.49,75.08247476070707,0.0884,-30.226000000000003,100.0,0.0895,60.716,-1.0087342023423542,0.13315
STM32,5.0,200.0,E2,4,Pipot_Ferro_0_5mM_200mVpS_E2_scan_04,0.1779,30.344,76.02976483954438,0.0884,-30.648000000000003,100.0,0.0895,60.992000000000004,-0.9900809188201514,0.13315
STM32,5.0,200.0,E2,5,Pipot_Ferro_0_5mM_200mVpS_E2_scan_05,0.1779,30.14,80.46097232606341,0.0884,-30.899,100.0,0.0895,61.039,-0.975436098255607,0.13315
STM32,5.0,200.0,E2,6,Pipot_Ferro_0_5mM_200mVpS_E2_scan_06,0.1779,30.384,78.88349476305655,0.0884,-31.151,100.0,0.0895,61.535,-0.9753779974960676,0.13315
STM32,5.0,200.0,E2,7,Pipot_Ferro_0_5mM_200mVpS_E2_scan_07,0.1779,30.477,86.6874113911633,0.0884,-31.456,100.0,0.0895,61.933,-0.9688771617497457,0.13315
STM32,5.0,200.0,E2,8,Pipot_Ferro_0_5mM_200mVpS_E2_scan_08,0.1779,30.449,86.71884331268564,0.0884,-31.696,100.0,0.0895,62.145,-0.9606574962140333,0.13315
STM32,5.0,200.0,E2,9,Pipot_Ferro_0_5mM_200mVpS_E2_scan_09,0.1779,30.675,86.61377460647552,0.0884,-31.602,100.0,0.0895,62.277,-0.9706664135181318,0.13315
STM32,5.0,200.0,E2,10,Pipot_Ferro_0_5mM_200mVpS_E2_scan_10,0.1779,30.818,87.1617810809842,0.0884,-31.926,100.0,0.0895,62.744,-0.9652947440957215,0.13315
